epoch,mark,Desired Torque,Measured Torque,Toe FSR,Heel FSR,PID Signal,Ankle Angle,Power,Stance Phase,Channel 8,Exoskeleton time (seconds)
1778698012.280249,0,0.000000,-0.020000,-1.990000,1.000000,-6.340000,29.700000,0.250000,0.000000,8.000000,46.290000
1778698012.390497,0,0.000000,-0.010000,0.030000,1.000000,54.220000,29.700000,0.270000,0.000000,8.000000,46.360000
1778698012.390497,0,0.000000,-0.090000,0.000000,0.000000,190.860000,31.950000,0.250000,0.000000,8.000000,46.360000
1778698012.390497,0,0.000000,0.000000,0.000000,1.000000,290.980000,32.500000,0.250000,0.000000,8.000000,46.380000
1778698012.390497,0,0.000000,-0.050000,0.000000,1.000000,212.360000,32.860000,0.250000,0.000000,8.000000,46.380000
1778698012.390497,0,0.000000,-0.030000,0.000000,0.000000,82.610000,33.340000,0.230000,0.000000,8.000000,46.400000
1778698012.437510,0,0.000000,-0.110000,0.000000,1.000000,-268.130000,33.310000,0.250000,0.000000,8.000000,46.400000
1778698012.437510,0,0.000000,-0.070000,0.000000,0.000000,-205.880000,33.310000,0.250000,0.000000,8.000000,46.410000
1778698012.437510,0,0.000000,-0.020000,0.000000,3.000000,-91.500000,33.240000,0.250000,0.000000,8.000000,46.430000
1778698012.437510,0,0.000000,-0.020000,0.000000,0.000000,157.080000,33.090000,0.250000,0.000000,8.000000,46.430000
1778698012.500362,0,0.000000,-0.070000,0.000000,2.000000,81.300000,32.950000,0.250000,0.000000,8.000000,46.450000
1778698012.500362,0,0.000000,-0.010000,0.000000,1.000000,53.810000,32.750000,0.250000,0.000000,8.000000,46.450000
1778698012.500362,0,0.000000,-0.030000,0.000000,1.000000,324.360000,32.560000,0.250000,0.000000,8.000000,46.470000
1778698012.500362,0,0.000000,-0.050000,0.000000,1.330000,207.350000,32.790000,0.250000,0.000000,8.000000,46.470000
1778698012.500362,0,0.000000,-0.090000,0.000000,0.920000,152.670000,33.200000,0.250000,0.000000,8.000000,46.490000
1778698012.500362,0,0.000000,-0.110000,0.000000,0.770000,-95.400000,33.810000,0.250000,0.000000,8.000000,46.500000
1778698012.532290,0,0.000000,-0.100000,0.000000,1.050000,236.500000,34.630000,0.230000,0.000000,8.000000,46.500000
1778698012.563820,0,0.000000,-0.010000,0.000000,1.000000,206.100000,35.430000,0.250000,0.000000,8.000000,46.520000
1778698012.563820,0,0.000000,-0.050000,0.000000,0.930000,-298.200000,36.220000,0.250000,0.000000,8.000000,46.520000
1778698012.563820,0,0.000000,-0.030000,0.000000,0.980000,-296.790000,37.220000,0.250000,0.000000,8.000000,46.540000
1778698012.579477,0,0.000000,-0.090000,0.000000,1.000000,196.360000,38.160000,0.230000,0.000000,8.000000,46.540000
1778698012.579477,0,0.000000,-0.070000,0.000000,1.000000,-209.140000,39.200000,0.250000,0.000000,8.000000,46.560000
1778698012.579477,0,0.000000,-0.070000,0.000000,1.000000,14.840000,40.200000,0.250000,0.000000,8.000000,46.560000
1778698012.610961,0,0.000000,-0.050000,0.000000,0.990000,151.630000,41.540000,0.250000,0.000000,8.000000,46.580000
1778698012.610961,0,0.000000,-0.050000,0.000000,1.000000,132.630000,42.680000,0.230000,0.000000,8.000000,46.590000
1778698012.642723,0,0.000000,-0.100000,0.000000,0.990000,220.110000,44.020000,0.250000,0.000000,8.000000,46.590000
1778698012.642723,0,0.000000,-0.100000,0.000000,1.000000,-257.510000,45.110000,0.250000,0.000000,8.000000,46.610000
1778698012.650476,0,0.000000,-0.120000,0.000000,1.000000,264.200000,46.400000,0.250000,0.000000,8.000000,46.610000
1778698012.674493,0,0.000000,-0.100000,0.000000,1.000000,270.450000,47.430000,0.250000,0.000000,8.000000,46.630000
1778698012.674493,0,0.000000,-0.100000,0.000000,1.000000,215.630000,48.400000,0.230000,0.000000,8.000000,46.630000
1778698012.674493,0,0.000000,-0.050000,0.000000,1.000000,140.690000,49.430000,0.250000,0.000000,8.000000,46.650000
1778698012.690150,0,0.000000,-0.100000,0.000000,1.000000,-32.930000,50.200000,0.250000,0.000000,8.000000,46.650000
1778698012.690150,0,0.000000,-0.120000,0.000000,1.000000,-197.210000,50.880000,0.250000,0.000000,8.000000,46.660000
1778698012.721760,0,0.000000,-0.100000,0.000000,1.000000,204.500000,51.680000,0.250000,0.000000,8.000000,46.680000
1778698012.721760,0,0.000000,-0.070000,0.000000,1.000000,169.520000,52.360000,0.230000,0.000000,8.000000,46.700000
1778698012.721760,0,0.000000,-0.110000,0.000000,0.990000,-268.350000,52.900000,0.250000,0.000000,8.000000,46.700000
1778698012.753525,0,0.000000,-0.100000,0.000000,1.000000,236.270000,53.200000,0.230000,0.000000,8.000000,46.720000
1778698012.753525,0,0.000000,-0.120000,0.000000,0.990000,271.950000,53.610000,0.230000,0.000000,8.000000,46.720000
1778698012.769194,0,0.000000,-0.100000,0.000000,1.000000,261.600000,53.910000,0.250000,0.000000,8.000000,46.740000
1778698012.769194,0,0.000000,-0.070000,0.000000,1.000000,173.360000,54.110000,0.250000,0.000000,8.000000,46.750000
1778698012.769194,0,0.000000,-0.090000,0.000000,0.990000,-106.050000,54.150000,0.250000,0.000000,8.000000,46.750000
1778698012.800767,0,0.000000,-0.070000,0.000000,1.000000,161.050000,54.400000,0.250000,0.000000,8.000000,46.770000
1778698012.800767,0,0.000000,-0.100000,0.000000,1.000000,234.330000,54.430000,0.230000,0.000000,8.000000,46.770000
1778698012.816426,0,0.000000,-0.100000,0.000000,0.990000,227.710000,54.500000,0.230000,0.000000,8.000000,46.790000
1778698012.816426,0,0.000000,-0.070000,0.000000,0.980000,-244.710000,54.630000,0.250000,0.000000,8.000000,46.790000
1778698012.816426,0,0.000000,-0.100000,0.000000,0.950000,200.280000,54.790000,0.230000,0.000000,8.000000,46.810000
1778698012.850633,0,0.000000,-0.100000,0.000000,0.930000,-29.260000,55.040000,0.250000,0.000000,8.000000,46.810000
1778698012.850633,0,0.000000,-0.100000,0.000000,0.910000,162.630000,55.380000,0.250000,0.000000,8.000000,46.830000
1778698012.863415,0,0.000000,-0.100000,0.000000,0.870000,312.080000,55.810000,0.250000,0.000000,8.000000,46.840000
1778698012.863415,0,0.000000,-0.110000,0.000000,0.820000,79.400000,56.490000,0.250000,0.000000,8.000000,46.840000
