epoch,mark,Clutch Command,Ankle Angle,Desired Torque (R),Measured Torque (R),Unused,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769448976.493933,0,0.000000,35.840000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,8.000000,39.400000
1769448976.539136,0,0.000000,35.810000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.430000
1769448976.539136,0,40.000000,35.810000,-1.820000,0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,39.450000
1769448976.571104,0,40.000000,35.810000,-0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.450000
1769448976.591346,0,40.000000,35.790000,14.550000,-0.010000,0.000000,0.000000,0.000000,2.000000,8.000000,39.470000
1769448976.625243,0,40.000000,35.840000,18.820000,-0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,39.490000
1769448976.625802,0,40.000000,35.840000,-19.180000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.500000
1769448976.649568,0,40.000000,35.880000,-21.280000,0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,39.520000
1769448976.656583,0,40.000000,35.840000,-9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.540000
1769448976.681033,0,40.000000,35.900000,8.300000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.540000
1769448976.687190,0,40.000000,35.970000,3.230000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.560000
1769448976.712388,0,40.000000,35.950000,-0.930000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.580000
1769448976.716213,0,40.000000,35.970000,-16.320000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.590000
1769448976.731884,0,40.000000,36.000000,17.760000,-0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,39.610000
1769448976.759127,0,40.000000,36.040000,0.280000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.630000
1769448976.774788,0,40.000000,35.790000,-5.400000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.650000
1769448976.788826,0,40.000000,36.090000,-6.090000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.650000
1769448976.788826,0,40.000000,36.090000,1.160000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.660000
1769448976.806327,0,40.000000,36.090000,-5.260000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.680000
1769448976.837625,0,40.000000,36.060000,4.650000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.700000
1769448976.840023,0,40.000000,36.090000,11.430000,-0.020000,0.000000,0.000000,0.000000,0.000000,8.000000,39.720000
1769448976.856372,0,40.000000,36.090000,7.110000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.720000
1769448976.866904,0,40.000000,36.060000,5.840000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.750000
1769448976.884783,0,40.000000,36.060000,10.220000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.770000
1769448976.894245,0,40.000000,35.970000,2.820000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.770000
1769448976.916326,0,40.000000,35.970000,-9.760000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.790000
1769448976.947600,0,40.000000,36.090000,1.620000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.810000
1769448976.947600,0,40.000000,36.060000,5.460000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.830000
1769448976.963350,0,40.000000,36.060000,6.130000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.840000
1769448976.974613,0,40.000000,36.110000,-4.550000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.860000
1769448976.994871,0,40.000000,36.000000,8.920000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.860000
1769448976.999732,0,40.000000,35.970000,19.210000,-0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,39.880000
1769448977.015342,0,40.000000,36.130000,3.860000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.900000
1769448977.026412,0,40.000000,36.060000,3.500000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.900000
1769448977.042086,0,40.000000,36.060000,1.880000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.930000
1769448977.073560,0,40.000000,36.040000,10.020000,-0.020000,0.000000,0.000000,0.000000,0.250000,8.000000,39.950000
1769448977.104867,0,40.000000,36.040000,-15.220000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.950000
1769448977.104867,0,40.000000,35.970000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.970000
1769448977.131011,0,40.000000,35.880000,6.090000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,39.990000
1769448977.132847,0,40.000000,36.000000,-25.220000,-0.050000,0.000000,0.000000,0.000000,0.000000,8.000000,40.000000
1769448977.155666,0,40.000000,35.970000,-3.780000,0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,40.020000
1769448977.162639,0,40.000000,35.970000,5.170000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,40.040000
1769448977.182705,0,40.000000,35.970000,-13.770000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,40.040000
1769448977.189760,0,40.000000,36.060000,15.350000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,40.060000
1769448977.214128,0,40.000000,36.060000,8.010000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,40.080000
1769448977.214128,0,40.000000,36.020000,-2.170000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,40.090000
1769448977.245437,0,40.000000,36.060000,-14.530000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,40.110000
1769448977.247442,0,40.000000,36.150000,6.300000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,40.130000
1769448977.264898,0,40.000000,36.150000,1.750000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,40.130000
1769448977.292587,0,40.000000,36.130000,-5.360000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,40.150000
