epoch,mark,PWM Signal,Ankle Angle,Desired Torque (R),Measured Torque (R),Ankle Angle,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1770143450.066841,0,10.430000,0.000000,0.000000,-0.030000,48.720000,0.000000,0.810000,0.000000,8.000000,25.890000
1770143450.082961,0,4.780000,0.000000,0.000000,-0.030000,49.060000,0.000000,0.850000,0.150000,8.000000,25.900000
1770143450.082961,0,-4.110000,0.000000,0.000000,0.000000,49.400000,0.000000,0.880000,0.150000,8.000000,25.930000
1770143450.098993,0,11.030000,0.000000,0.000000,-0.050000,49.180000,0.000000,0.920000,0.330000,8.000000,25.940000
1770143450.114979,0,18.400000,0.000000,0.000000,-0.070000,48.610000,0.000000,0.930000,0.150000,8.000000,25.950000
1770143450.130927,0,45.180000,0.000000,0.000000,-0.210000,49.340000,0.000000,0.930000,0.330000,8.000000,25.960000
1770143450.162306,0,102.310000,0.000000,0.000000,-0.460000,48.810000,0.000000,0.880000,0.150000,8.000000,25.980000
1770143450.178206,0,129.970000,0.000000,0.000000,-0.620000,48.080000,0.000000,0.790000,0.150000,8.000000,26.000000
1770143450.178206,0,181.210000,0.000000,0.000000,-0.870000,46.430000,0.000000,0.670000,0.330000,8.000000,26.020000
1770143450.194308,0,133.280000,0.000000,0.000000,-0.600000,44.630000,0.000000,0.560000,0.150000,8.000000,26.030000
1770143450.210201,0,61.150000,0.000000,0.000000,-0.360000,42.160000,0.000000,0.460000,0.150000,8.000000,26.040000
1770143450.210201,0,63.020000,0.000000,0.000000,-0.310000,39.090000,0.000000,0.370000,0.330000,8.000000,26.060000
1770143450.242239,0,85.630000,0.000000,0.000000,-0.380000,36.310000,0.000000,0.280000,0.330000,8.000000,26.070000
1770143450.258366,0,51.160000,0.000000,0.000000,-0.280000,33.410000,0.000000,0.230000,0.150000,8.000000,26.090000
1770143450.274387,0,70.830000,0.000000,0.000000,-0.340000,30.190000,0.000000,0.200000,0.150000,8.000000,26.110000
1770143450.290248,0,59.860000,0.000000,0.000000,-0.270000,27.370000,0.000000,0.180000,0.330000,8.000000,26.120000
1770143450.290248,0,9.900000,0.000000,0.000000,-0.020000,24.450000,0.000000,0.200000,0.330000,8.000000,26.130000
1770143450.325682,0,-49.310000,0.000000,0.000000,0.170000,21.900000,0.000000,0.210000,0.150000,8.000000,26.140000
1770143450.337704,0,-25.190000,0.000000,0.000000,0.140000,19.530000,0.000000,0.250000,0.150000,8.000000,26.170000
1770143450.353722,0,-49.340000,0.000000,0.000000,0.230000,17.720000,0.000000,0.280000,0.150000,8.000000,26.180000
1770143450.353722,0,-70.590000,0.000000,0.000000,0.370000,16.380000,0.000000,0.330000,0.330000,8.000000,26.200000
1770143450.385748,0,-75.750000,0.000000,0.000000,0.370000,15.420000,0.000000,0.370000,0.330000,8.000000,26.210000
1770143450.401727,0,-105.510000,0.000000,0.000000,0.490000,15.270000,0.000000,0.400000,0.330000,8.000000,26.220000
1770143450.401727,0,-125.040000,0.000000,0.000000,0.600000,15.610000,0.000000,0.470000,0.330000,8.000000,26.250000
1770143450.417512,0,-137.330000,0.000000,0.000000,0.680000,16.610000,0.000000,0.540000,0.150000,8.000000,26.260000
1770143450.449189,0,-168.270000,0.000000,0.000000,0.810000,18.120000,0.000000,0.570000,0.000000,8.000000,26.280000
1770143450.449189,0,-141.440000,0.000000,0.000000,0.750000,20.640000,0.000000,0.610000,0.150000,8.000000,26.290000
1770143450.465303,0,-175.770000,0.000000,0.000000,0.850000,23.720000,0.000000,0.620000,0.330000,8.000000,26.300000
1770143450.481054,0,-199.160000,0.000000,0.000000,0.930000,26.820000,0.000000,0.630000,0.330000,8.000000,26.310000
1770143450.512944,0,-168.610000,0.000000,0.000000,0.880000,29.930000,0.000000,0.660000,0.330000,8.000000,26.340000
1770143450.528831,0,-249.520000,0.000000,0.000000,1.170000,32.970000,0.000000,0.670000,0.330000,8.000000,26.350000
1770143450.528831,0,-228.410000,0.000000,0.000000,1.190000,35.970000,0.000000,0.670000,0.150000,8.000000,26.370000
1770143450.560922,0,-243.330000,0.000000,0.000000,1.160000,39.180000,0.000000,0.680000,0.150000,8.000000,26.370000
1770143450.560922,0,-174.300000,0.000000,0.000000,0.970000,41.930000,0.000000,0.670000,0.000000,8.000000,26.390000
1770143450.577930,0,-185.770000,0.000000,0.000000,0.910000,45.180000,0.000000,0.660000,0.000000,8.000000,26.400000
1770143450.592663,0,-104.400000,0.000000,0.000000,0.540000,48.080000,0.000000,0.620000,0.000000,8.000000,26.430000
1770143450.592663,0,-29.070000,0.000000,0.000000,0.180000,50.830000,0.000000,0.560000,0.150000,8.000000,26.440000
1770143450.608376,0,-13.420000,0.000000,0.000000,0.050000,53.090000,0.000000,0.510000,0.000000,8.000000,26.450000
1770143450.639765,0,64.730000,0.000000,0.000000,-0.330000,55.520000,0.000000,0.490000,0.150000,8.000000,26.460000
1770143450.655734,0,36.180000,0.000000,0.000000,-0.170000,57.400000,0.000000,0.460000,0.150000,8.000000,26.480000
1770143450.671754,0,2.260000,0.000000,0.000000,-0.070000,59.490000,0.000000,0.430000,0.000000,8.000000,26.500000
1770143450.687756,0,49.020000,0.000000,0.000000,-0.200000,61.180000,0.000000,0.400000,0.150000,8.000000,26.520000
1770143450.713359,0,40.590000,0.000000,0.000000,-0.150000,61.610000,0.000000,0.360000,0.330000,8.000000,26.530000
1770143450.719224,0,67.050000,0.000000,0.000000,-0.280000,61.950000,0.000000,0.310000,0.150000,8.000000,26.540000
1770143450.719224,0,95.440000,0.000000,0.000000,-0.440000,61.770000,0.000000,0.270000,0.150000,8.000000,26.550000
1770143450.751062,0,129.860000,0.000000,0.000000,-0.620000,61.150000,0.000000,0.200000,0.330000,8.000000,26.570000
1770143450.751062,0,149.380000,0.000000,0.000000,-0.740000,59.930000,0.000000,0.180000,0.330000,8.000000,26.590000
1770143450.766946,0,169.100000,0.000000,0.000000,-0.860000,57.840000,0.000000,0.150000,0.500000,8.000000,26.610000
1770143450.782745,0,189.250000,0.000000,0.000000,-0.910000,55.500000,0.000000,0.140000,0.150000,8.000000,26.620000
1770143450.798539,0,191.610000,0.000000,0.000000,-0.930000,52.310000,0.000000,0.120000,0.330000,8.000000,26.630000
1770143450.814639,0,229.130000,0.000000,0.000000,-1.140000,49.000000,0.000000,0.110000,0.150000,8.000000,26.650000
1770143450.814639,0,232.500000,0.000000,0.000000,-1.200000,45.970000,0.000000,0.110000,0.150000,8.000000,26.670000
1770143450.845984,0,249.110000,0.000000,0.000000,-1.200000,43.090000,0.000000,0.140000,0.150000,8.000000,26.690000
1770143450.861836,0,214.000000,0.000000,0.000000,-1.100000,40.060000,0.000000,0.150000,0.150000,8.000000,26.700000
1770143450.861836,0,197.720000,0.000000,0.000000,-1.010000,36.970000,0.000000,0.150000,0.330000,8.000000,26.700000
1770143450.877577,0,151.770000,0.000000,0.000000,-0.760000,34.310000,0.000000,0.150000,0.150000,8.000000,26.720000
1770143450.909672,0,148.860000,0.000000,0.000000,-0.730000,31.060000,0.000000,0.170000,0.330000,8.000000,26.750000
1770143450.925539,0,117.950000,0.000000,0.000000,-0.610000,28.040000,0.000000,0.200000,0.150000,8.000000,26.760000
1770143450.941322,0,40.020000,0.000000,0.000000,-0.210000,25.120000,0.000000,0.210000,0.150000,8.000000,26.780000
1770143450.957353,0,37.900000,0.000000,0.000000,-0.180000,22.020000,0.000000,0.250000,0.000000,8.000000,26.790000
1770143450.973212,0,-8.800000,0.000000,0.000000,0.000000,19.360000,0.000000,0.280000,0.150000,8.000000,26.800000
1770143450.989164,0,-30.710000,0.000000,0.000000,0.140000,17.090000,0.000000,0.330000,0.150000,8.000000,26.810000
1770143451.005027,0,-102.120000,0.000000,0.000000,0.500000,15.180000,0.000000,0.360000,0.150000,8.000000,26.840000
1770143451.005027,0,-92.810000,0.000000,0.000000,0.460000,13.850000,0.000000,0.380000,0.500000,8.000000,26.850000
1770143451.020728,0,-99.500000,0.000000,0.000000,0.470000,13.060000,0.000000,0.400000,0.150000,8.000000,26.870000
1770143451.036633,0,-92.870000,0.000000,0.000000,0.460000,12.930000,0.000000,0.430000,0.660000,8.000000,26.870000
1770143451.052557,0,-125.310000,0.000000,0.000000,0.610000,13.420000,0.000000,0.460000,0.150000,8.000000,26.890000
1770143451.068304,0,-141.860000,0.000000,0.000000,0.680000,14.470000,0.000000,0.500000,0.330000,8.000000,26.900000
1770143451.084159,0,-144.880000,0.000000,0.000000,0.720000,16.070000,0.000000,0.540000,0.000000,8.000000,26.930000
1770143451.099931,0,-141.380000,0.000000,0.000000,0.750000,18.260000,0.000000,0.560000,0.150000,8.000000,26.940000
1770143451.115616,0,-132.050000,0.000000,0.000000,0.690000,21.220000,0.000000,0.580000,0.330000,8.000000,26.950000
1770143451.131627,0,-217.580000,0.000000,0.000000,1.030000,24.370000,0.000000,0.600000,0.330000,8.000000,26.960000
1770143451.147341,0,-236.240000,0.000000,0.000000,1.140000,27.360000,0.000000,0.610000,0.500000,8.000000,26.980000
1770143451.163181,0,-207.440000,0.000000,0.000000,1.040000,30.540000,0.000000,0.620000,0.150000,8.000000,27.000000
1770143451.179260,0,-200.360000,0.000000,0.000000,1.020000,33.660000,0.000000,0.620000,0.000000,8.000000,27.020000
1770143451.195132,0,-196.440000,0.000000,0.000000,0.980000,36.750000,0.000000,0.620000,0.150000,8.000000,27.030000
1770143451.210776,0,-172.710000,0.000000,0.000000,0.870000,39.840000,0.000000,0.610000,0.820000,8.000000,27.040000
1770143451.226895,0,-175.880000,0.000000,0.000000,0.760000,42.750000,0.000000,0.580000,0.500000,8.000000,27.050000
1770143451.242795,0,-130.160000,0.000000,0.000000,0.600000,46.080000,0.000000,0.560000,0.150000,8.000000,27.070000
1770143451.258556,0,-72.200000,0.000000,0.000000,0.400000,49.060000,0.000000,0.520000,0.500000,8.000000,27.090000
1770143451.274191,0,-86.870000,0.000000,0.000000,0.370000,52.090000,0.000000,0.490000,0.150000,8.000000,27.110000
1770143451.290187,0,-52.130000,0.000000,0.000000,0.280000,55.090000,0.000000,0.460000,0.000000,8.000000,27.120000
1770143451.305825,0,-45.500000,0.000000,0.000000,0.180000,57.930000,0.000000,0.430000,0.150000,8.000000,27.130000
1770143451.329001,0,-13.060000,0.000000,0.000000,0.050000,60.560000,0.000000,0.400000,0.150000,8.000000,27.150000
1770143451.345570,0,6.460000,0.000000,0.000000,0.000000,63.380000,0.000000,0.370000,0.150000,8.000000,27.170000
1770143451.347574,0,41.540000,0.000000,0.000000,-0.170000,65.620000,0.000000,0.310000,0.330000,8.000000,27.190000
1770143451.353667,0,53.400000,0.000000,0.000000,-0.250000,67.550000,0.000000,0.250000,0.150000,8.000000,27.200000
1770143451.369464,0,89.230000,0.000000,0.000000,-0.430000,68.610000,0.000000,0.200000,0.000000,8.000000,27.210000
1770143451.385463,0,74.800000,0.000000,0.000000,-0.400000,70.040000,0.000000,0.170000,0.150000,8.000000,27.220000
1770143451.401117,0,74.550000,0.000000,0.000000,-0.380000,70.230000,0.000000,0.150000,0.500000,8.000000,27.250000
1770143451.416849,0,89.060000,0.000000,0.000000,-0.430000,69.750000,0.000000,0.120000,0.330000,8.000000,27.260000
1770143451.432879,0,89.480000,0.000000,0.000000,-0.440000,69.050000,0.000000,0.100000,0.330000,8.000000,27.280000
1770143451.458731,0,98.150000,0.000000,0.000000,-0.490000,67.730000,0.000000,0.090000,0.150000,8.000000,27.290000
1770143451.480485,0,121.270000,0.000000,0.000000,-0.570000,65.970000,0.000000,0.050000,0.150000,8.000000,27.300000
1770143451.496302,0,127.200000,0.000000,0.000000,-0.660000,63.750000,0.000000,0.020000,0.150000,8.000000,27.310000
