epoch,mark,PWM Signal,Ankle Angle,Desired Torque (R),Measured Torque (R),Ankle Angle,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1770139914.725491,0,0.000000,0.000000,0.000000,0.000000,70.930000,0.000000,1.000000,0.000000,8.000000,33.590000
1770139914.776197,0,0.000000,0.000000,0.000000,0.000000,70.730000,0.000000,0.000000,0.000000,8.000000,33.630000
1770139914.788393,0,49.520000,0.000000,0.000000,-0.200000,69.910000,0.000000,0.000000,0.000000,8.000000,33.630000
1770139914.804293,0,53.900000,0.000000,0.000000,-0.250000,69.760000,0.000000,0.000000,0.000000,8.000000,33.650000
1770139914.820207,0,22.460000,0.000000,0.000000,-0.210000,69.840000,0.000000,0.000000,0.000000,8.000000,33.660000
1770139914.835956,0,59.720000,0.000000,0.000000,-0.230000,69.690000,0.000000,0.000000,0.000000,8.000000,33.680000
1770139914.835956,0,28.630000,0.000000,0.000000,-0.200000,69.480000,0.000000,0.000000,0.000000,8.000000,33.700000
1770139914.851752,0,53.840000,0.000000,0.000000,-0.250000,68.950000,0.000000,0.000000,0.000000,8.000000,33.720000
1770139914.867798,0,34.880000,0.000000,0.000000,-0.250000,68.160000,0.000000,0.000000,0.000000,8.000000,33.720000
1770139914.883516,0,66.590000,0.000000,0.000000,-0.280000,67.300000,0.000000,0.000000,0.000000,8.000000,33.750000
1770139914.915360,0,43.930000,0.000000,0.000000,-0.210000,66.410000,0.000000,0.000000,0.000000,8.000000,33.750000
1770139914.915360,0,50.680000,0.000000,0.000000,-0.200000,65.510000,0.000000,0.000000,0.000000,8.000000,33.770000
1770139914.931050,0,28.770000,0.000000,0.000000,-0.120000,64.590000,0.000000,0.000000,0.000000,8.000000,33.790000
1770139914.931050,0,2.740000,0.000000,0.000000,-0.070000,63.240000,0.000000,0.000000,0.000000,8.000000,33.810000
1770139914.946711,0,2.550000,0.000000,0.000000,-0.990000,62.400000,0.000000,0.000000,0.000000,8.000000,33.810000
1770139914.972594,0,-124.270000,0.000000,0.000000,0.210000,61.250000,0.000000,0.000000,0.000000,8.000000,33.840000
1770139914.994413,0,-22.780000,0.000000,0.000000,0.200000,59.270000,0.000000,0.000000,0.000000,8.000000,33.840000
1770139915.010482,0,-27.620000,0.000000,0.000000,0.030000,57.630000,0.000000,0.000000,0.000000,8.000000,33.860000
1770139915.010482,0,-16.720000,0.000000,0.000000,0.070000,56.290000,0.000000,0.000000,0.000000,8.000000,33.880000
1770139915.026567,0,-15.520000,0.000000,0.000000,0.000000,55.150000,0.000000,0.000000,0.000000,8.000000,33.900000
1770139915.042269,0,17.770000,0.000000,0.000000,-0.090000,54.160000,0.000000,0.000000,0.000000,8.000000,33.900000
1770139915.058337,0,11.180000,0.000000,0.000000,-0.030000,53.270000,0.000000,0.000000,0.000000,8.000000,33.930000
1770139915.074027,0,-16.610000,0.000000,0.000000,0.000000,52.400000,0.000000,0.000000,0.000000,8.000000,33.930000
1770139915.089762,0,-16.100000,0.000000,0.000000,0.070000,51.700000,0.000000,0.280000,0.000000,8.000000,33.950000
1770139915.105727,0,-27.280000,0.000000,0.000000,0.180000,51.310000,0.000000,0.750000,0.000000,8.000000,33.970000
1770139915.121376,0,-55.650000,0.000000,0.000000,0.230000,51.090000,0.000000,1.000000,0.000000,8.000000,33.990000
1770139915.137137,0,-83.550000,0.000000,0.000000,0.340000,51.310000,0.000000,1.000000,0.000000,8.000000,34.000000
1770139915.153024,0,-70.260000,0.000000,0.000000,0.400000,51.900000,0.000000,1.000000,0.000000,8.000000,34.020000
