epoch,mark,Desired Torque,Measured Torque,Toe FSR,Heel FSR,PID Signal,Ankle Angle,Power,Stance Phase,Channel 8,Exoskeleton time (seconds)
1774477671.528536,0,0.000000,0.180000,0.000000,0.750000,0.000000,1.950000,0.250000,0.000000,8.000000,211.360000
1774477671.556957,0,0.000000,0.110000,0.000000,0.000000,0.000000,2.400000,0.270000,0.000000,8.000000,211.380000
1774477671.568632,0,0.000000,0.180000,0.000000,0.000000,0.000000,5.960000,0.250000,0.000000,8.000000,211.390000
1774477671.597954,0,0.000000,0.150000,0.000000,0.000000,0.000000,6.800000,0.250000,0.000000,8.000000,211.410000
1774477671.603950,0,0.000000,0.010000,0.000000,0.250000,0.000000,7.340000,0.250000,0.000000,8.000000,211.420000
1774477671.624993,0,0.000000,0.110000,0.000000,0.250000,0.000000,6.940000,0.250000,0.000000,8.000000,211.440000
1774477671.646151,0,0.000000,0.200000,0.000000,0.000000,0.000000,6.630000,0.250000,0.000000,8.000000,211.460000
1774477671.659603,0,0.000000,0.140000,0.000000,0.000000,0.000000,6.900000,0.250000,0.000000,8.000000,211.470000
1774477671.659603,0,0.000000,0.170000,0.000000,0.250000,0.000000,7.920000,0.250000,0.000000,8.000000,211.500000
1774477671.691215,0,0.000000,0.170000,0.000000,0.000000,0.000000,9.310000,0.250000,0.000000,8.000000,211.500000
1774477671.709981,0,0.000000,0.150000,0.000000,0.000000,0.000000,10.800000,0.250000,0.000000,8.000000,211.520000
1774477671.709981,0,0.000000,0.150000,0.000000,0.000000,0.000000,12.730000,0.250000,0.000000,8.000000,211.530000
1774477671.728568,0,0.000000,0.090000,0.000000,0.000000,0.000000,15.180000,0.250000,0.000000,8.000000,211.550000
1774477671.737573,0,0.000000,0.100000,0.000000,0.000000,0.000000,18.380000,0.250000,0.000000,8.000000,211.570000
1774477671.753242,0,0.000000,0.000000,0.000000,0.000000,0.000000,22.400000,0.250000,0.000000,8.000000,211.580000
1774477671.769059,0,0.000000,0.070000,0.000000,0.000000,0.000000,27.670000,0.250000,0.000000,8.000000,211.600000
