epoch,mark,Unused,Ankle Angle,Unused,Measured Torque (R),Unused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1772563196.366210,0,0.000000,54.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,40.380000
1772563196.429442,0,0.000000,54.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,8.000000,40.450000
1772563196.445152,0,0.000000,53.290000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.200000,8.000000,40.450000
1772563196.445152,0,0.000000,53.400000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.400000,8.000000,40.470000
1772563196.461145,0,0.000000,53.400000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.200000,8.000000,40.490000
1772563196.493736,0,0.000000,53.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,8.000000,40.500000
1772563196.508700,0,0.000000,53.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,40.520000
1772563196.524343,0,0.000000,53.340000,0.000000,0.010000,0.000000,0.000000,0.000000,0.200000,8.000000,40.540000
1772563196.540314,0,0.000000,53.110000,0.000000,0.010000,0.000000,0.000000,0.000000,0.200000,8.000000,40.540000
1772563196.540314,0,0.000000,52.840000,0.000000,0.020000,0.000000,0.000000,0.000000,0.400000,8.000000,40.560000
1772563196.571941,0,0.000000,52.630000,0.000000,0.050000,0.000000,0.000000,0.000000,1.000000,8.000000,40.580000
1772563196.593836,0,0.000000,52.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,40.590000
1772563196.603536,0,0.000000,52.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,40.610000
1772563196.603536,0,0.000000,52.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,8.000000,40.630000
1772563196.619556,0,0.000000,52.110000,0.000000,0.010000,0.000000,0.000000,0.000000,0.200000,8.000000,40.630000
1772563196.635571,0,0.000000,51.880000,0.000000,0.030000,0.000000,0.000000,0.000000,0.200000,8.000000,40.650000
1772563196.651539,0,0.000000,51.520000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,8.000000,40.660000
1772563196.667473,0,0.000000,51.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,40.680000
1772563196.699236,0,0.000000,50.970000,0.000000,0.010000,0.000000,0.000000,0.000000,0.200000,8.000000,40.700000
1772563196.699236,0,0.000000,50.860000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.200000,8.000000,40.720000
1772563196.715055,0,0.000000,50.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,40.720000
1772563196.730755,0,0.000000,51.130000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.200000,8.000000,40.750000
1772563196.746577,0,0.000000,51.470000,0.000000,0.050000,0.000000,0.000000,0.000000,0.200000,8.000000,40.750000
1772563196.762565,0,0.000000,51.830000,0.000000,0.010000,0.000000,0.000000,0.000000,0.200000,8.000000,40.770000
1772563196.794105,0,0.000000,51.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,40.790000
1772563196.794105,0,0.000000,51.910000,0.000000,0.010000,0.000000,0.000000,0.000000,0.200000,8.000000,40.810000
1772563196.809740,0,0.000000,51.930000,0.000000,0.070000,0.000000,0.000000,0.000000,0.200000,8.000000,40.810000
1772563196.809740,0,0.000000,51.810000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.200000,8.000000,40.840000
1772563196.825753,0,0.000000,51.790000,0.000000,0.010000,0.000000,0.000000,0.000000,0.200000,8.000000,40.840000
1772563196.841802,0,0.000000,51.900000,0.000000,0.020000,0.000000,0.000000,0.000000,0.200000,8.000000,40.860000
1772563196.873655,0,0.000000,51.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,40.880000
1772563196.873655,0,0.000000,52.060000,0.000000,0.030000,0.000000,0.000000,0.000000,0.200000,8.000000,40.900000
1772563196.894226,0,0.000000,51.970000,0.000000,0.070000,0.000000,0.000000,0.000000,0.200000,8.000000,40.900000
1772563196.905228,0,0.000000,51.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,40.930000
1772563196.921066,0,0.000000,51.880000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.200000,8.000000,40.930000
1772563196.952638,0,0.000000,51.970000,0.000000,0.090000,0.000000,0.000000,0.000000,0.200000,8.000000,40.950000
1772563196.968420,0,0.000000,51.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,40.970000
1772563196.984181,0,0.000000,51.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,40.990000
1772563196.984181,0,0.000000,51.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,41.000000
1772563196.999847,0,0.000000,51.830000,0.000000,0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,41.020000
1772563197.015617,0,0.000000,51.810000,0.000000,0.090000,0.000000,0.000000,0.000000,0.150000,8.000000,41.040000
1772563197.015617,0,0.000000,51.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,41.040000
1772563197.047419,0,0.000000,51.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,41.060000
1772563197.063149,0,0.000000,51.910000,0.000000,0.050000,0.000000,0.000000,0.000000,0.150000,8.000000,41.080000
1772563197.078835,0,0.000000,52.000000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.150000,8.000000,41.090000
1772563197.094134,0,0.000000,52.090000,0.000000,0.020000,0.000000,0.000000,0.000000,0.660000,8.000000,41.110000
1772563197.110076,0,0.000000,52.090000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,41.130000
1772563197.125777,0,0.000000,52.220000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,8.000000,41.130000
1772563197.141429,0,0.000000,52.310000,0.000000,0.050000,0.000000,0.000000,0.000000,0.150000,8.000000,41.150000
1772563197.157329,0,0.000000,52.360000,0.000000,0.050000,0.000000,0.000000,0.000000,0.150000,8.000000,41.160000
1772563197.173118,0,0.000000,52.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,41.180000
1772563197.194515,0,0.000000,52.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330000,8.000000,41.200000
1772563197.194515,0,0.000000,52.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,41.220000
1772563197.204652,0,0.000000,52.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,41.220000
1772563197.236480,0,0.000000,52.340000,0.000000,0.010000,0.000000,0.000000,0.000000,0.330000,8.000000,41.250000
1772563197.252166,0,0.000000,52.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,41.250000
1772563197.252166,0,0.000000,52.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330000,8.000000,41.270000
1772563197.268071,0,0.000000,52.360000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.150000,8.000000,41.290000
1772563197.294758,0,0.000000,52.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330000,8.000000,41.310000
1772563197.315464,0,0.000000,52.450000,0.000000,0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,41.310000
1772563197.315464,0,0.000000,52.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330000,8.000000,41.340000
1772563197.331401,0,0.000000,52.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,41.340000
1772563197.347367,0,0.000000,52.560000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.330000,8.000000,41.360000
1772563197.347367,0,0.000000,52.580000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.150000,8.000000,41.380000
