epoch,mark,Desired Torque (L),Measured Torque (L),Desired Torque (R),Measured Torque (R),Toe FSR (L),Stance Phase (L),Toe FSR (R),Stance Phase (R),Channel 8,Exoskeleton time (seconds)
1778711296.763931,0,0.000000,30.390000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,41.930000
1778711296.793269,0,0.000000,30.390000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.000000,8.000000,41.970000
1778711296.793750,0,0.000000,30.390000,0.000000,0.370000,0.000000,0.000000,0.000000,0.000000,8.000000,41.970000
1778711296.815055,0,0.000000,30.450000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.000000,8.000000,41.990000
1778711296.830214,0,0.000000,30.530000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,8.000000,42.000000
1778711296.846882,0,0.000000,30.390000,0.000000,-0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,42.000000
1778711296.847297,0,0.000000,30.450000,0.000000,-0.380000,0.000000,0.000000,0.000000,0.000000,8.000000,42.020000
1778711296.847751,0,0.000000,30.390000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.000000,8.000000,42.020000
1778711296.868451,0,0.000000,30.390000,0.000000,-0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,42.040000
1778711296.887359,0,0.000000,30.360000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,8.000000,42.040000
1778711296.887963,0,0.000000,30.390000,0.000000,-0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,42.060000
1778711296.907107,0,0.000000,30.390000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,42.060000
1778711296.907517,0,0.000000,30.390000,0.000000,0.430000,0.000000,0.000000,0.000000,0.000000,8.000000,42.080000
1778711296.925718,0,0.000000,30.360000,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,8.000000,42.090000
1778711296.926128,0,0.000000,30.390000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,42.090000
1778711296.942574,0,0.000000,30.390000,0.000000,-0.250000,0.000000,0.000000,0.000000,0.000000,8.000000,42.110000
1778711296.943088,0,0.000000,30.390000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.000000,8.000000,42.110000
1778711296.959407,0,0.000000,30.390000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,42.130000
1778711296.976358,0,0.000000,30.390000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,42.130000
1778711296.994217,0,0.000000,30.450000,0.000000,-0.380000,0.000000,0.000000,0.000000,0.000000,8.000000,42.150000
1778711296.994797,0,0.000000,30.450000,0.000000,-0.380000,0.000000,0.000000,0.000000,0.000000,8.000000,42.150000
1778711297.005353,0,0.000000,30.390000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,8.000000,42.160000
1778711297.016123,0,0.000000,30.390000,0.000000,-0.340000,0.000000,0.000000,0.000000,0.000000,8.000000,42.180000
1778711297.026781,0,0.000000,30.390000,0.000000,-0.430000,0.000000,0.000000,0.000000,0.000000,8.000000,42.180000
1778711297.039111,0,0.000000,30.390000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.000000,8.000000,42.200000
1778711297.049286,0,0.000000,30.390000,0.000000,0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,42.200000
1778711297.059096,0,0.000000,30.390000,0.000000,-0.380000,0.000000,0.000000,0.000000,0.000000,8.000000,42.220000
1778711297.069772,0,0.000000,30.450000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,8.000000,42.220000
1778711297.079964,0,0.000000,30.390000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,8.000000,42.240000
1778711297.080456,0,0.000000,30.390000,0.000000,-0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,42.250000
1778711297.097542,0,0.000000,30.390000,0.000000,-0.380000,0.000000,0.000000,0.000000,0.000000,8.000000,42.250000
1778711297.098125,0,0.000000,30.390000,0.000000,-0.250000,0.000000,0.000000,0.000000,0.000000,8.000000,42.270000
1778711297.115672,0,0.000000,30.450000,0.000000,0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,42.270000
1778711297.116251,0,0.000000,30.390000,0.000000,0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,42.290000
1778711297.133428,0,0.000000,30.390000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.000000,8.000000,42.290000
1778711297.134014,0,0.000000,30.390000,0.000000,-0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,42.310000
1778711297.151807,0,0.000000,30.450000,0.000000,-0.340000,0.000000,0.000000,0.000000,0.000000,8.000000,42.310000
1778711297.162690,0,0.000000,30.390000,0.000000,-0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,42.330000
1778711297.173586,0,0.000000,30.450000,0.000000,-0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,42.340000
1778711297.184214,0,0.000000,30.450000,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,8.000000,42.340000
1778711297.202759,0,0.000000,30.390000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,42.360000
1778711297.215175,0,0.000000,30.390000,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,8.000000,42.360000
1778711297.226949,0,0.000000,30.390000,0.000000,-0.380000,0.000000,0.000000,0.000000,0.000000,8.000000,42.380000
1778711297.227481,0,0.000000,30.390000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,8.000000,42.380000
1778711297.239853,0,0.000000,30.390000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,8.000000,42.400000
1778711297.251329,0,0.000000,30.390000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,8.000000,42.400000
1778711297.262511,0,0.000000,30.390000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,42.410000
1778711297.273410,0,0.000000,30.450000,0.000000,-0.430000,0.000000,0.000000,0.000000,0.000000,8.000000,42.430000
1778711297.284851,0,0.000000,30.360000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,8.000000,42.430000
1778711297.296017,0,0.000000,30.390000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,8.000000,42.450000
1778711297.306457,0,0.000000,30.390000,0.000000,-0.250000,0.000000,0.000000,0.000000,0.000000,8.000000,42.450000
1778711297.316450,0,0.000000,30.190000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,8.000000,42.470000
1778711297.326693,0,0.000000,30.390000,0.000000,-0.340000,0.000000,0.000000,0.000000,0.000000,8.000000,42.470000
1778711297.336455,0,0.000000,30.390000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.000000,8.000000,42.500000
1778711297.347409,0,0.000000,30.390000,0.000000,-0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,42.500000
1778711297.357255,0,0.000000,30.360000,0.000000,-0.380000,0.000000,0.000000,0.000000,0.000000,8.000000,42.520000
1778711297.367921,0,0.000000,30.390000,0.000000,0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,42.520000
1778711297.378956,0,0.000000,30.450000,0.000000,-0.340000,0.000000,0.000000,0.000000,0.000000,8.000000,42.540000
1778711297.390627,0,0.000000,30.220000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,8.000000,42.540000
1778711297.391066,0,0.000000,30.390000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,8.000000,42.560000
1778711297.401594,0,0.000000,30.390000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,8.000000,42.560000
1778711297.420480,0,0.000000,30.390000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,42.580000
1778711297.421050,0,0.000000,30.390000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,8.000000,42.590000
1778711297.439826,0,0.000000,30.450000,0.000000,-0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,42.590000
1778711297.440584,0,0.000000,30.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,42.610000
1778711297.459691,0,0.000000,30.390000,0.000000,-0.340000,0.000000,0.000000,0.000000,0.000000,8.000000,42.610000
1778711297.460483,0,0.000000,30.390000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,8.000000,42.630000
