epoch,mark,Unused,Ankle Angle,Unused,Measured Torque (R),Unused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769114043.391530,0,0.000000,46.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,23.130000
1769114043.417012,0,0.000000,48.400000,0.000000,-0.070000,0.000000,0.000000,0.000000,2.000000,8.000000,23.150000
1769114043.446111,0,0.000000,49.610000,0.000000,-0.070000,0.000000,0.000000,0.000000,1.000000,8.000000,23.170000
1769114043.480865,0,0.000000,51.080000,0.000000,-0.030000,0.000000,0.000000,0.990000,0.000000,8.000000,23.190000
1769114043.503845,0,0.000000,52.610000,0.000000,-0.010000,0.000000,0.000000,1.000000,0.000000,8.000000,23.200000
1769114043.503845,0,0.000000,54.040000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,8.000000,23.210000
1769114043.504844,0,0.000000,55.470000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,8.000000,23.220000
1769114043.526995,0,0.000000,55.430000,0.000000,0.430000,0.000000,0.000000,1.000000,0.890000,8.000000,23.250000
1769114043.527994,0,0.000000,56.000000,0.000000,0.310000,0.000000,0.000000,1.000000,0.800000,8.000000,23.270000
1769114043.562625,0,0.000000,55.430000,0.000000,0.230000,0.000000,0.000000,0.990000,0.850000,8.000000,23.280000
1769114043.574218,0,0.000000,54.430000,0.000000,0.180000,0.000000,0.000000,1.000000,0.800000,8.000000,23.290000
1769114043.591294,0,0.000000,53.410000,0.000000,0.200000,0.000000,0.000000,1.000000,0.600000,8.000000,23.300000
1769114043.592294,0,0.000000,52.270000,0.000000,0.200000,0.000000,0.000000,0.990000,0.600000,8.000000,23.320000
1769114043.603889,0,0.000000,51.020000,0.000000,0.210000,0.000000,0.000000,0.990000,0.690000,8.000000,23.340000
1769114043.604887,0,0.000000,49.750000,0.000000,0.150000,0.000000,0.000000,1.000000,0.850000,8.000000,23.360000
1769114043.622436,0,0.000000,48.520000,0.000000,0.180000,0.000000,0.000000,0.990000,0.690000,8.000000,23.370000
1769114043.640455,0,0.000000,47.410000,0.000000,0.150000,0.000000,0.000000,1.000000,0.640000,8.000000,23.380000
1769114043.659454,0,0.000000,46.310000,0.000000,0.150000,0.000000,0.000000,1.000000,0.600000,8.000000,23.390000
1769114043.659970,0,0.000000,45.310000,0.000000,0.090000,0.000000,0.000000,0.990000,0.400000,8.000000,23.420000
1769114043.675790,0,0.000000,43.860000,0.000000,-0.050000,0.000000,0.000000,0.990000,0.100000,8.000000,23.430000
1769114043.696517,0,0.000000,42.430000,0.000000,-0.110000,0.000000,0.000000,1.000000,0.000000,8.000000,23.450000
1769114043.712192,0,0.000000,41.590000,0.000000,-0.100000,0.000000,0.000000,1.000000,0.050000,8.000000,23.450000
1769114043.727769,0,0.000000,40.970000,0.000000,-0.050000,0.000000,0.000000,1.000000,0.150000,8.000000,23.470000
1769114043.743742,0,0.000000,40.290000,0.000000,-0.090000,0.000000,0.000000,0.990000,0.050000,8.000000,23.480000
1769114043.743742,0,0.000000,40.090000,0.000000,-0.030000,0.000000,0.000000,0.970000,0.050000,8.000000,23.510000
1769114043.769621,0,0.000000,40.180000,0.000000,-0.070000,0.000000,0.000000,0.930000,0.050000,8.000000,23.520000
