epoch,mark,Unused,Ankle Angle,Unused,Measured Torque (R),Unused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769113452.529491,0,0.000000,50.840000,0.000000,0.000000,0.000000,0.000000,80.300000,1.000000,8.000000,23.370000
1769113452.574843,0,0.000000,43.590000,0.000000,-0.050000,0.000000,0.000000,0.850000,0.000000,8.000000,23.390000
1769113452.574843,0,0.000000,39.000000,0.000000,-0.050000,0.000000,0.000000,0.980000,0.000000,8.000000,23.400000
1769113452.590561,0,0.000000,36.150000,0.000000,-0.020000,0.000000,0.000000,1.000000,0.330000,8.000000,23.430000
1769113452.607554,0,0.000000,35.650000,0.000000,0.000000,0.000000,0.000000,0.950000,1.000000,8.000000,23.440000
1769113452.621583,0,0.000000,35.990000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,8.000000,23.450000
1769113452.621583,0,0.000000,36.020000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,8.000000,23.460000
1769113452.653093,0,0.000000,35.500000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,8.000000,23.480000
1769113452.669826,0,0.000000,35.090000,0.000000,0.000000,0.000000,0.000000,0.980000,0.000000,8.000000,23.500000
1769113452.669826,0,0.000000,35.310000,0.000000,-0.070000,0.000000,0.000000,0.930000,0.200000,8.000000,23.520000
1769113452.684914,0,0.000000,36.000000,0.000000,-0.050000,0.000000,0.000000,0.760000,0.000000,8.000000,23.530000
1769113452.700663,0,0.000000,36.930000,0.000000,-0.020000,0.000000,0.000000,0.460000,0.200000,8.000000,23.540000
1769113452.716754,0,0.000000,37.810000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.000000,8.000000,23.560000
1769113452.742995,0,0.000000,39.180000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,23.570000
1769113452.764007,0,0.000000,40.590000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.600000,8.000000,23.600000
1769113452.769777,0,0.000000,42.090000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,23.610000
1769113452.795332,0,0.000000,43.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,23.620000
1769113452.795332,0,0.000000,44.400000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.000000,8.000000,23.630000
1769113452.810972,0,0.000000,45.220000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.000000,8.000000,23.650000
1769113452.826634,0,0.000000,45.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,23.670000
1769113452.842597,0,0.000000,46.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,23.690000
1769113452.842597,0,0.000000,46.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,23.700000
1769113452.874502,0,0.000000,47.130000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.200000,8.000000,23.710000
1769113452.890160,0,0.000000,47.810000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,23.730000
1769113452.905864,0,0.000000,48.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,23.750000
1769113452.921746,0,0.000000,50.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,8.000000,23.770000
1769113452.937434,0,0.000000,52.700000,0.000000,0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,23.780000
1769113452.968802,0,0.000000,55.200000,0.000000,0.000000,0.000000,0.000000,0.050000,0.200000,8.000000,23.790000
1769113452.987588,0,0.000000,57.900000,0.000000,0.110000,0.000000,0.000000,0.140000,0.400000,8.000000,23.800000
1769113452.987588,0,0.000000,60.610000,0.000000,0.050000,0.000000,0.000000,0.210000,0.000000,8.000000,23.820000
1769113453.000561,0,0.000000,62.970000,0.000000,0.180000,0.000000,0.000000,0.310000,0.200000,8.000000,23.840000
1769113453.016518,0,0.000000,64.760000,0.000000,0.150000,0.000000,0.000000,0.400000,0.000000,8.000000,23.860000
1769113453.032460,0,0.000000,65.860000,0.000000,0.150000,0.000000,0.000000,0.510000,0.000000,8.000000,23.870000
1769113453.058103,0,0.000000,66.340000,0.000000,0.140000,0.000000,0.000000,0.620000,0.400000,8.000000,23.880000
1769113453.080061,0,0.000000,66.400000,0.000000,0.150000,0.000000,0.000000,0.740000,0.000000,8.000000,23.890000
1769113453.080061,0,0.000000,66.290000,0.000000,0.020000,0.000000,0.000000,0.810000,0.400000,8.000000,23.920000
1769113453.095877,0,0.000000,65.760000,0.000000,0.000000,0.000000,0.000000,0.880000,0.200000,8.000000,23.930000
1769113453.111848,0,0.000000,65.000000,0.000000,0.020000,0.000000,0.000000,0.930000,0.000000,8.000000,23.950000
1769113453.127831,0,0.000000,64.130000,0.000000,0.000000,0.000000,0.000000,0.990000,0.200000,8.000000,23.950000
1769113453.143469,0,0.000000,62.470000,0.000000,-0.100000,0.000000,0.000000,0.990000,0.200000,8.000000,23.970000
1769113453.143469,0,0.000000,59.500000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,8.000000,23.980000
1769113453.175109,0,0.000000,54.930000,0.000000,-0.020000,0.000000,0.000000,0.990000,0.000000,8.000000,24.010000
1769113453.175109,0,0.000000,48.810000,0.000000,-0.050000,0.000000,0.000000,0.980000,0.200000,8.000000,24.020000
1769113453.190789,0,0.000000,42.020000,0.000000,-0.030000,0.000000,0.000000,0.930000,0.800000,8.000000,24.040000
1769113453.222994,0,0.000000,36.840000,0.000000,-0.050000,0.000000,0.000000,0.860000,0.200000,8.000000,24.040000
1769113453.222994,0,0.000000,33.880000,0.000000,0.000000,0.000000,0.000000,0.750000,0.200000,8.000000,24.060000
1769113453.238667,0,0.000000,33.750000,0.000000,-0.020000,0.000000,0.000000,0.610000,0.000000,8.000000,24.090000
1769113453.270067,0,0.000000,35.040000,0.000000,0.000000,0.000000,0.000000,0.440000,0.400000,8.000000,24.100000
1769113453.270067,0,0.000000,36.680000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,8.000000,24.120000
1769113453.285725,0,0.000000,38.000000,0.000000,-0.010000,0.000000,0.000000,0.180000,0.000000,8.000000,24.120000
1769113453.317447,0,0.000000,38.860000,0.000000,0.000000,0.000000,0.000000,0.070000,0.200000,8.000000,24.140000
1769113453.333396,0,0.000000,38.720000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.000000,8.000000,24.150000
1769113453.349527,0,0.000000,37.900000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,8.000000,24.180000
1769113453.365174,0,0.000000,36.750000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,8.000000,24.190000
1769113453.380988,0,0.000000,35.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,24.200000
1769113453.396931,0,0.000000,34.720000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.000000,8.000000,24.210000
1769113453.412652,0,0.000000,33.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,24.230000
