epoch,mark,Unused,Ankle Angle,Unused,Measured Torque (R),Unused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1771890442.087480,0,0.000000,52.560000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,8.000000,36.410000
1771890442.144140,0,0.000000,52.590000,0.000000,0.010000,0.000000,0.000000,0.000000,-1.000000,8.000000,36.450000
1771890442.144140,0,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330000,8.000000,36.450000
1771890442.144140,0,0.000000,52.560000,0.000000,0.070000,0.000000,0.000000,0.000000,0.400000,8.000000,36.470000
1771890442.186673,0,0.000000,52.630000,0.000000,0.100000,0.000000,0.000000,0.000000,0.200000,8.000000,36.490000
1771890442.202334,0,0.000000,52.560000,0.000000,0.000000,0.000000,0.000000,0.000000,1.200000,8.000000,36.500000
1771890442.214629,0,0.000000,52.610000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.400000,8.000000,36.520000
1771890442.234016,0,0.000000,52.590000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.200000,8.000000,36.540000
1771890442.268051,0,0.000000,52.630000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.200000,8.000000,36.560000
1771890442.268051,0,0.000000,52.610000,0.000000,0.050000,0.000000,0.000000,0.000000,0.200000,8.000000,36.560000
1771890442.298857,0,0.000000,52.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,8.000000,36.590000
1771890442.298857,0,0.000000,52.630000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.200000,8.000000,36.590000
1771890442.345820,0,0.000000,52.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,8.000000,36.610000
1771890442.355391,0,0.000000,52.660000,0.000000,0.200000,0.000000,0.000000,0.000000,0.200000,8.000000,36.630000
1771890442.355391,0,0.000000,52.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,36.650000
1771890442.355391,0,0.000000,52.630000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.400000,8.000000,36.650000
1771890442.357396,0,0.000000,52.540000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,8.000000,36.680000
1771890442.393278,0,0.000000,52.630000,0.000000,0.070000,0.000000,0.000000,0.000000,0.400000,8.000000,36.700000
1771890442.408944,0,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,8.000000,36.720000
1771890442.439978,0,0.000000,52.660000,0.000000,0.150000,0.000000,0.000000,0.000000,0.400000,8.000000,36.740000
1771890442.445811,0,0.000000,52.630000,0.000000,0.050000,0.000000,0.000000,0.000000,0.200000,8.000000,36.750000
