epoch,mark,PWM Signal,Ankle Angle,Desired Torque (R),Measured Torque (R),Unused,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769638513.570855,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-3.000000,8.000000,56.790000
1769638513.610152,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.100000,1.000000,8.000000,56.810000
1769638513.610152,0,106.950000,0.000000,0.000000,4.190000,0.000000,0.000000,1.000000,0.990000,8.000000,56.840000
1769638513.657604,0,316.110000,0.000000,0.000000,2.750000,0.000000,0.000000,0.910000,1.000000,8.000000,56.860000
1769638513.673332,0,119.050000,0.000000,0.000000,0.090000,0.000000,0.000000,0.340000,1.000000,8.000000,56.860000
1769638513.673332,0,84.830000,0.000000,0.000000,-0.440000,0.000000,0.000000,0.000000,0.990000,8.000000,56.880000
1769638513.720555,0,75.440000,0.000000,0.000000,-0.550000,0.000000,0.000000,0.110000,0.990000,8.000000,56.900000
1769638513.720555,0,137.160000,0.000000,0.000000,-0.620000,0.000000,0.000000,0.680000,1.000000,8.000000,56.900000
1769638513.720555,0,144.600000,0.000000,0.000000,-0.750000,0.000000,0.000000,1.000000,1.000000,8.000000,56.930000
1769638513.720555,0,137.020000,0.000000,0.000000,-0.620000,0.000000,0.000000,1.000000,0.990000,8.000000,56.950000
1769638513.767766,0,108.510000,0.000000,0.000000,-0.570000,0.000000,0.000000,1.000000,1.000000,8.000000,56.950000
1769638513.767766,0,92.050000,0.000000,0.000000,-0.490000,0.000000,0.000000,1.000000,1.000000,8.000000,56.970000
1769638513.767766,0,-12.670000,0.000000,0.000000,-0.180000,0.000000,0.000000,1.000000,0.990000,8.000000,56.990000
1769638513.821214,0,-323.230000,0.000000,0.000000,1.280000,0.000000,0.000000,1.000000,0.990000,8.000000,57.000000
1769638513.821214,0,107.470000,0.000000,0.000000,-0.070000,0.000000,0.000000,1.000000,0.990000,8.000000,57.020000
