epoch,mark,PWM Signal,Ankle Angle,Desired Torque (R),Measured Torque (R),Ankle Angle,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1770140617.010558,0,0.000000,0.000000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,8.000000,29.400000
1770140617.058348,0,0.000000,0.000000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,8.000000,29.440000
1770140617.058348,0,0.000000,0.000000,0.000000,-0.280000,0.030000,0.000000,0.000000,0.000000,8.000000,29.450000
1770140617.089755,0,0.000000,0.000000,0.000000,-0.460000,0.050000,0.000000,0.000000,0.000000,8.000000,29.470000
1770140617.105734,0,0.000000,0.000000,0.000000,-0.370000,0.030000,0.000000,0.000000,0.000000,8.000000,29.480000
1770140617.105734,0,0.000000,0.000000,0.000000,-0.460000,0.030000,0.000000,0.000000,0.000000,8.000000,29.510000
1770140617.134930,0,0.000000,0.000000,0.000000,-0.440000,0.030000,0.000000,0.000000,0.000000,8.000000,29.520000
1770140617.135460,0,0.000000,0.000000,0.000000,-0.380000,0.030000,0.000000,0.000000,0.000000,8.000000,29.540000
1770140617.154992,0,0.000000,0.000000,0.000000,-0.310000,0.030000,0.000000,0.000000,0.000000,8.000000,29.540000
1770140617.168955,0,0.000000,0.000000,0.000000,-0.250000,0.050000,0.000000,0.000000,2.000000,8.000000,29.560000
1770140617.184596,0,0.000000,0.000000,0.000000,-0.100000,0.030000,0.000000,0.000000,0.000000,8.000000,29.570000
1770140617.200229,0,0.000000,0.000000,0.000000,-0.070000,0.100000,0.000000,0.000000,0.000000,8.000000,29.600000
1770140617.225051,0,0.000000,0.000000,0.000000,-0.020000,0.030000,0.000000,0.000000,0.000000,8.000000,29.610000
1770140617.225051,0,0.000000,0.000000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,8.000000,29.620000
1770140617.232097,0,0.000000,0.000000,0.000000,0.020000,0.030000,0.000000,1.090000,0.000000,8.000000,29.630000
1770140617.263866,0,0.000000,0.000000,0.000000,0.110000,0.050000,0.000000,1.000000,0.000000,8.000000,29.650000
1770140617.279680,0,0.000000,0.000000,0.000000,0.230000,0.970000,0.000000,0.980000,0.000000,8.000000,29.670000
