epoch,mark,Desired Torque (L),Ankle Angle,Desired Torque (R),Measured Torque (R),Toe FSR (L),Stance Phase (L),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769029745.107528,0,0.000000,58.950000,0.000000,-0.100000,19.470000,0.000000,0.000000,0.000000,8.000000,175.710000
1769029745.107528,0,0.000000,59.000000,0.000000,0.000000,19.530000,0.000000,0.000000,0.250000,8.000000,175.720000
1769029745.107528,0,0.000000,59.020000,0.000000,-0.020000,19.630000,0.000000,0.000000,0.500000,8.000000,175.740000
1769029745.148539,0,0.000000,58.910000,0.000000,-0.070000,19.630000,0.000000,0.000000,0.000000,8.000000,175.750000
1769029745.148539,0,0.000000,58.900000,0.000000,-0.030000,19.470000,0.000000,0.000000,0.000000,8.000000,175.770000
1769029745.191773,0,0.000000,58.950000,0.000000,-0.010000,19.630000,0.000000,0.000000,0.000000,8.000000,175.770000
1769029745.191773,0,0.000000,58.860000,0.000000,-0.070000,19.530000,0.000000,0.000000,0.000000,8.000000,175.800000
1769029745.191773,0,0.000000,58.830000,0.000000,0.000000,19.470000,0.000000,0.000000,0.000000,8.000000,175.800000
1769029745.238786,0,0.000000,58.970000,0.000000,-0.010000,19.530000,0.000000,0.000000,0.000000,8.000000,175.830000
1769029745.238786,0,0.000000,58.910000,0.000000,0.000000,19.530000,0.000000,0.000000,0.250000,8.000000,175.830000
1769029745.238786,0,0.000000,58.830000,0.000000,-0.020000,19.590000,0.000000,0.000000,0.000000,8.000000,175.860000
1769029745.261981,0,0.000000,58.830000,0.000000,0.000000,19.530000,0.000000,0.000000,0.000000,8.000000,175.860000
1769029745.286056,0,0.000000,58.900000,0.000000,0.000000,19.590000,0.000000,0.000000,0.750000,8.000000,175.880000
1769029745.313347,0,0.000000,58.680000,0.000000,-0.030000,19.530000,0.000000,0.000000,0.000000,8.000000,175.890000
1769029745.333735,0,0.000000,58.650000,0.000000,0.010000,19.530000,0.000000,0.000000,0.000000,8.000000,175.910000
1769029745.333735,0,0.000000,58.610000,0.000000,-0.070000,19.700000,0.000000,0.000000,0.000000,8.000000,175.920000
1769029745.333735,0,0.000000,58.540000,0.000000,0.000000,19.370000,0.000000,0.000000,0.000000,8.000000,175.940000
1769029745.358606,0,0.000000,58.630000,0.000000,0.020000,19.630000,0.000000,0.000000,0.000000,8.000000,175.960000
1769029745.380502,0,0.000000,58.520000,0.000000,-0.100000,19.630000,0.000000,0.000000,0.000000,8.000000,175.970000
1769029745.380502,0,0.000000,58.520000,0.000000,-0.010000,19.420000,0.000000,0.000000,0.250000,8.000000,175.990000
1769029745.395810,0,0.000000,58.590000,0.000000,-0.010000,19.590000,0.000000,0.000000,0.000000,8.000000,176.000000
1769029745.416499,0,0.000000,58.750000,0.000000,-0.050000,19.470000,0.000000,0.000000,0.000000,8.000000,176.020000
1769029745.447230,0,0.000000,58.750000,0.000000,0.000000,19.700000,0.000000,0.000000,0.000000,8.000000,176.030000
1769029745.467801,0,0.000000,58.810000,0.000000,0.030000,19.530000,0.000000,0.000000,0.250000,8.000000,176.050000
1769029745.467801,0,0.000000,58.910000,0.000000,0.100000,19.530000,0.000000,0.000000,0.000000,8.000000,176.070000
1769029745.489965,0,0.000000,59.110000,0.000000,0.050000,19.530000,0.000000,0.000000,0.000000,8.000000,176.080000
1769029745.489965,0,0.000000,59.040000,0.000000,-0.050000,19.420000,0.000000,0.000000,0.000000,8.000000,176.100000
1769029745.519049,0,0.000000,59.110000,0.000000,0.070000,19.700000,0.000000,0.000000,0.000000,8.000000,176.110000
1769029745.539721,0,0.000000,59.000000,0.000000,0.010000,19.800000,0.000000,0.000000,0.000000,8.000000,176.130000
1769029745.539721,0,0.000000,58.910000,0.000000,0.000000,19.470000,0.000000,0.000000,0.000000,8.000000,176.140000
1769029745.560293,0,0.000000,58.900000,0.000000,-0.140000,19.590000,0.000000,0.000000,0.000000,8.000000,176.160000
