epoch,mark,PWM Signal,Ankle Angle,Desired Torque (R),Measured Torque (R),Ankle Angle,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1770142982.223111,0,0.000000,0.000000,0.000000,0.000000,24.730000,0.000000,0.000000,0.000000,8.000000,21.650000
1770142982.254810,0,0.000000,0.000000,0.000000,0.000000,25.090000,0.000000,-0.070000,1.000000,8.000000,21.680000
1770142982.254810,0,0.000000,0.000000,0.000000,1.130000,25.950000,0.000000,0.000000,0.000000,8.000000,21.690000
1770142982.286262,0,0.000000,0.000000,0.000000,1.080000,26.470000,0.000000,0.000000,0.500000,8.000000,21.700000
1770142982.286262,0,0.000000,0.000000,0.000000,0.860000,26.800000,0.000000,0.000000,0.000000,8.000000,21.720000
1770142982.302138,0,0.000000,0.000000,0.000000,0.640000,27.200000,0.000000,0.000000,0.330000,8.000000,21.730000
1770142982.317872,0,0.000000,0.000000,0.000000,0.460000,27.530000,0.000000,0.000000,0.330000,8.000000,21.760000
1770142982.333941,0,0.000000,0.000000,0.000000,0.280000,27.790000,0.000000,0.000000,0.000000,8.000000,21.770000
1770142982.333941,0,0.000000,0.000000,0.000000,0.070000,27.900000,0.000000,0.000000,0.000000,8.000000,21.790000
1770142982.365837,0,0.000000,0.000000,0.000000,0.000000,27.810000,0.000000,0.000000,0.000000,8.000000,21.790000
1770142982.365837,0,0.000000,0.000000,0.000000,-0.110000,27.670000,0.000000,0.000000,0.250000,8.000000,21.810000
1770142982.381725,0,0.000000,0.000000,0.000000,-0.300000,27.530000,0.000000,0.000000,0.250000,8.000000,21.820000
1770142982.415389,0,0.000000,0.000000,0.000000,-0.440000,27.290000,0.000000,0.000000,0.000000,8.000000,21.850000
1770142982.427486,0,0.000000,0.000000,0.000000,-0.690000,27.360000,0.000000,0.000000,0.000000,8.000000,21.860000
1770142982.445313,0,0.000000,0.000000,0.000000,-0.930000,27.040000,0.000000,0.000000,0.250000,8.000000,21.870000
1770142982.461141,0,0.000000,0.000000,0.000000,-1.000000,26.920000,0.000000,0.000000,0.000000,8.000000,21.880000
1770142982.461141,0,0.000000,0.000000,0.000000,-1.140000,26.620000,0.000000,0.000000,0.000000,8.000000,21.900000
1770142982.493309,0,0.000000,0.000000,0.000000,-1.360000,26.310000,0.000000,0.000000,0.250000,8.000000,21.930000
1770142982.509103,0,0.000000,0.000000,0.000000,-1.530000,26.100000,0.000000,0.000000,0.000000,8.000000,21.940000
1770142982.524833,0,0.000000,0.000000,0.000000,-1.760000,25.620000,0.000000,0.000000,0.000000,8.000000,21.950000
1770142982.524833,0,0.000000,0.000000,0.000000,-1.900000,25.090000,0.000000,0.000000,0.250000,8.000000,21.960000
1770142982.540475,0,0.000000,0.000000,0.000000,-2.040000,24.610000,0.000000,0.000000,0.000000,8.000000,21.980000
1770142982.572148,0,0.000000,0.000000,0.000000,-2.190000,23.930000,0.000000,0.180000,0.000000,8.000000,22.000000
1770142982.588112,0,0.000000,0.000000,0.000000,-2.230000,23.810000,0.000000,0.360000,0.000000,8.000000,22.020000
1770142982.605210,0,0.000000,0.000000,0.000000,-2.160000,22.400000,0.000000,0.510000,0.000000,8.000000,22.030000
1770142982.605210,0,0.000000,0.000000,0.000000,-2.100000,21.810000,0.000000,0.640000,0.000000,8.000000,22.040000
1770142982.621094,0,0.000000,0.000000,0.000000,-1.990000,20.870000,0.000000,0.770000,0.000000,8.000000,22.050000
1770142982.653071,0,0.000000,0.000000,0.000000,-1.760000,20.200000,0.000000,0.880000,0.000000,8.000000,22.070000
1770142982.653071,0,0.000000,0.000000,0.000000,-1.720000,19.420000,0.000000,0.970000,0.000000,8.000000,22.090000
1770142982.677595,0,0.000000,0.000000,0.000000,-1.620000,18.520000,0.000000,0.990000,0.000000,8.000000,22.110000
1770142982.684823,0,0.000000,0.000000,0.000000,-1.410000,17.780000,0.000000,1.000000,0.000000,8.000000,22.120000
1770142982.716453,0,0.000000,0.000000,0.000000,-1.120000,17.120000,0.000000,1.000000,0.000000,8.000000,22.130000
1770142982.716453,0,0.000000,0.000000,0.000000,-0.850000,16.430000,0.000000,0.990000,0.000000,8.000000,22.140000
1770142982.732314,0,0.000000,0.000000,0.000000,-0.330000,15.710000,0.000000,1.000000,0.000000,8.000000,22.170000
1770142982.748017,0,0.000000,0.000000,0.000000,-0.030000,15.270000,0.000000,0.940000,0.000000,8.000000,22.180000
1770142982.764129,0,0.000000,0.000000,0.000000,0.150000,15.190000,0.000000,0.950000,0.000000,8.000000,22.200000
1770142982.779952,0,0.000000,0.000000,0.000000,0.820000,15.340000,0.000000,0.990000,0.000000,8.000000,22.200000
