epoch,mark,PWM Signal,Ankle Angle,Desired Torque (R),Measured Torque (R),Ankle Angle,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1770140909.908890,0,0.000000,0.000000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,8.000000,27.640000
1770140909.940553,0,0.000000,0.000000,0.000000,0.000000,19.130000,0.000000,0.740000,0.000000,8.000000,27.690000
1770140909.956396,0,0.000000,0.000000,0.000000,-0.030000,19.130000,0.000000,1.120000,0.000000,8.000000,27.700000
1770140909.988205,0,0.000000,0.000000,0.000000,-0.020000,19.130000,0.000000,0.940000,0.000000,8.000000,27.710000
1770140909.988205,0,0.000000,0.000000,0.000000,-0.120000,19.120000,0.000000,1.000000,0.000000,8.000000,27.720000
1770140910.004084,0,0.000000,0.000000,0.000000,-0.070000,19.130000,0.000000,1.000000,0.000000,8.000000,27.750000
1770140910.020118,0,0.000000,0.000000,0.000000,-0.010000,19.200000,0.000000,1.000000,0.000000,8.000000,27.760000
1770140910.035938,0,0.000000,0.000000,0.000000,-0.090000,19.200000,0.000000,1.000000,0.000000,8.000000,27.780000
1770140910.052033,0,0.000000,0.000000,0.000000,-0.070000,19.130000,0.000000,0.970000,0.000000,8.000000,27.790000
1770140910.067796,0,0.000000,0.000000,0.000000,-0.050000,19.130000,0.000000,1.000000,0.000000,8.000000,27.800000
1770140910.083630,0,0.000000,0.000000,0.000000,-0.070000,19.150000,0.000000,1.000000,0.000000,8.000000,27.820000
1770140910.099592,0,0.000000,0.000000,0.000000,-0.090000,19.030000,0.000000,0.980000,0.000000,8.000000,27.840000
1770140910.115270,0,0.000000,0.000000,0.000000,-0.090000,19.040000,0.000000,1.010000,0.000000,8.000000,27.860000
1770140910.130984,0,0.000000,0.000000,0.000000,-0.030000,19.030000,0.000000,1.000000,0.000000,8.000000,27.870000
1770140910.130984,0,0.000000,0.000000,0.000000,-0.150000,19.030000,0.000000,1.000000,0.000000,8.000000,27.870000
1770140910.146913,0,0.000000,0.000000,0.000000,-0.100000,18.920000,0.000000,1.000000,0.000000,8.000000,27.890000
1770140910.178449,0,0.000000,0.000000,0.000000,-0.070000,18.950000,0.000000,1.000000,0.000000,8.000000,27.900000
1770140910.194324,0,0.000000,0.000000,0.000000,-0.050000,19.230000,0.000000,0.990000,0.000000,8.000000,27.930000
1770140910.210347,0,0.000000,0.000000,0.000000,-0.110000,18.920000,0.000000,0.990000,0.000000,8.000000,27.950000
1770140910.226121,0,0.000000,0.000000,0.000000,-0.050000,18.950000,0.000000,0.990000,0.000000,8.000000,27.950000
1770140910.242222,0,0.000000,0.000000,0.000000,-0.070000,18.920000,0.000000,0.990000,0.000000,8.000000,27.970000
1770140910.242222,0,0.000000,0.000000,0.000000,-0.100000,18.860000,0.000000,1.000000,0.000000,8.000000,27.980000
1770140910.257951,0,0.000000,0.000000,0.000000,-0.100000,18.860000,0.000000,1.000000,0.000000,8.000000,28.010000
1770140910.273657,0,0.000000,0.000000,0.000000,-0.140000,18.870000,0.000000,0.990000,0.000000,8.000000,28.020000
1770140910.305471,0,0.000000,0.000000,0.000000,-0.090000,18.860000,0.000000,0.990000,0.000000,8.000000,28.040000
1770140910.305471,0,0.000000,0.000000,0.000000,-0.100000,18.840000,0.000000,0.980000,0.000000,8.000000,28.040000
1770140910.321295,0,0.000000,0.000000,0.000000,-0.050000,18.790000,0.000000,0.980000,0.000000,8.000000,28.060000
1770140910.345757,0,0.000000,0.000000,0.000000,-0.020000,18.810000,0.000000,0.990000,0.000000,8.000000,28.070000
1770140910.369057,0,0.000000,0.000000,0.000000,-0.050000,18.860000,0.000000,0.980000,0.000000,8.000000,28.100000
1770140910.369057,0,0.000000,0.000000,0.000000,-0.070000,18.840000,0.000000,0.990000,0.000000,8.000000,28.110000
1770140910.384989,0,0.000000,0.000000,0.000000,-0.100000,18.860000,0.000000,0.980000,0.000000,8.000000,28.120000
1770140910.412315,0,0.000000,0.000000,0.000000,-0.070000,18.860000,0.000000,0.970000,0.000000,8.000000,28.130000
1770140910.412315,0,0.000000,0.000000,0.000000,-0.050000,18.790000,0.000000,0.930000,0.000000,8.000000,28.150000
1770140910.432697,0,0.000000,0.000000,0.000000,-0.020000,18.950000,0.000000,0.860000,0.000000,8.000000,28.180000
1770140910.448562,0,0.000000,0.000000,0.000000,-0.090000,18.950000,0.000000,0.770000,0.000000,8.000000,28.190000
1770140910.464628,0,0.000000,0.000000,0.000000,-0.070000,18.950000,0.000000,0.670000,0.000000,8.000000,28.200000
1770140910.480441,0,0.000000,0.000000,0.000000,-0.030000,19.130000,0.000000,0.560000,1.000000,8.000000,28.210000
1770140910.480441,0,0.000000,0.000000,0.000000,-0.010000,19.120000,0.000000,0.440000,0.000000,8.000000,28.220000
1770140910.496559,0,0.000000,0.000000,0.000000,0.000000,19.300000,0.000000,0.380000,0.000000,8.000000,28.250000
1770140910.512222,0,0.000000,0.000000,0.000000,0.020000,19.300000,0.000000,0.370000,0.000000,8.000000,28.260000
1770140910.527963,0,0.000000,0.000000,0.000000,0.000000,19.450000,0.000000,0.360000,0.000000,8.000000,28.280000
1770140910.543877,0,0.000000,0.000000,0.000000,0.100000,19.670000,0.000000,0.360000,0.000000,8.000000,28.290000
1770140910.559623,0,0.000000,0.000000,0.000000,0.150000,19.750000,0.000000,0.380000,0.000000,8.000000,28.300000
1770140910.596179,0,0.000000,0.000000,0.000000,0.170000,19.770000,0.000000,0.430000,0.000000,8.000000,28.310000
1770140910.596179,0,0.000000,0.000000,0.000000,0.200000,19.840000,0.000000,0.460000,0.000000,8.000000,28.340000
1770140910.607198,0,0.000000,0.000000,0.000000,0.180000,19.920000,0.000000,0.540000,0.000000,8.000000,28.350000
