epoch,mark,Unused,Ankle Angle,Unused,Measured Torque (R),Unused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1772143175.626660,0,0.000000,20.690000,0.000000,-0.010000,0.000000,0.000000,0.000000,1.500000,8.000000,24.620000
1772143175.715291,0,0.000000,20.750000,0.000000,-0.070000,0.000000,0.000000,0.140000,2.000000,8.000000,24.640000
1772143175.717367,0,0.000000,20.520000,0.000000,0.050000,0.000000,0.000000,0.230000,-0.250000,8.000000,24.670000
1772143175.718373,0,0.000000,20.520000,0.000000,-0.200000,0.000000,0.000000,0.020000,1.000000,8.000000,24.680000
1772143175.718373,0,0.000000,20.670000,0.000000,-0.210000,0.000000,0.000000,0.030000,1.000000,8.000000,24.700000
1772143175.780337,0,0.000000,20.790000,0.000000,0.050000,0.000000,0.000000,-0.030000,0.600000,8.000000,24.700000
1772143175.780337,0,0.000000,20.380000,0.000000,-0.070000,0.000000,0.000000,0.140000,0.600000,8.000000,24.720000
1772143175.811868,0,0.000000,20.430000,0.000000,-0.030000,0.000000,0.000000,0.070000,0.400000,8.000000,24.730000
1772143175.811868,0,0.000000,20.780000,0.000000,0.110000,0.000000,0.000000,0.000000,0.330000,8.000000,24.760000
1772143175.843295,0,0.000000,20.500000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.330000,8.000000,24.770000
1772143175.843295,0,0.000000,20.750000,0.000000,-0.100000,0.000000,0.000000,0.000000,1.000000,8.000000,24.790000
1772143175.843295,0,0.000000,20.430000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.500000,8.000000,24.800000
1772143175.874976,0,0.000000,20.780000,0.000000,-0.090000,0.000000,0.000000,0.000000,1.330000,8.000000,24.810000
1772143175.874976,0,0.000000,20.540000,0.000000,0.110000,0.000000,0.000000,0.010000,0.000000,8.000000,24.840000
1772143175.906357,0,0.000000,20.810000,0.000000,0.050000,0.000000,0.000000,0.000000,0.330000,8.000000,24.850000
1772143175.906357,0,0.000000,20.620000,0.000000,-0.120000,0.000000,0.000000,0.000000,1.150000,8.000000,24.870000
1772143175.937871,0,0.000000,20.400000,0.000000,0.030000,0.000000,0.000000,0.010000,0.150000,8.000000,24.870000
1772143175.969902,0,0.000000,20.690000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.660000,8.000000,24.890000
1772143175.969902,0,0.000000,20.450000,0.000000,-0.020000,0.000000,0.000000,0.010000,0.330000,8.000000,24.900000
1772143175.969902,0,0.000000,20.720000,0.000000,0.050000,0.000000,0.000000,0.000000,0.700000,8.000000,24.930000
1772143176.001419,0,0.000000,20.670000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.850000,8.000000,24.940000
1772143176.001419,0,0.000000,20.380000,0.000000,-0.050000,0.000000,0.000000,0.030000,0.550000,8.000000,24.950000
1772143176.033132,0,0.000000,20.400000,0.000000,0.020000,0.000000,0.000000,0.030000,0.210000,8.000000,24.960000
1772143176.033132,0,0.000000,20.430000,0.000000,-0.100000,0.000000,0.000000,0.030000,0.660000,8.000000,24.980000
1772143176.064789,0,0.000000,20.780000,0.000000,0.000000,0.000000,0.000000,0.010000,0.660000,8.000000,25.010000
1772143176.096509,0,0.000000,20.600000,0.000000,0.070000,0.000000,0.000000,0.030000,0.210000,8.000000,25.020000
1772143176.096509,0,0.000000,20.780000,0.000000,0.050000,0.000000,0.000000,0.050000,0.100000,8.000000,25.040000
