epoch,mark,Desired Torque,Measured Torque,Toe FSR,Heel FSR,PID Signal,Ankle Angle,Power,Stance Phase,Battery Level (Volts),Exoskeleton time (seconds)
1774478845.032947,0,0.000000,0.150000,1.000000,0.000000,-30.620000,47.740000,6.800000,0.000000,24.180000,43.560000
1774478845.038965,0,0.000000,-0.210000,0.990000,0.000000,193.110000,49.180000,6.480000,0.000000,24.230000,43.560000
1774478845.038965,0,0.000000,-0.330000,0.990000,0.000000,169.130000,50.330000,6.150000,0.000000,24.230000,43.590000
1774478845.055038,0,0.000000,-0.560000,0.990000,0.000000,255.500000,50.740000,5.940000,0.000000,24.210000,43.590000
1774478845.086391,0,0.000000,-0.570000,0.970000,0.000000,288.250000,50.340000,6.150000,0.000000,24.170000,43.610000
1774478845.102434,0,0.000000,-0.540000,0.930000,0.000000,222.710000,49.270000,6.690000,0.000000,24.120000,43.630000
1774478845.118083,0,0.000000,-0.430000,0.880000,0.000000,200.490000,47.540000,7.130000,0.000000,24.120000,43.650000
1774478845.133992,0,0.000000,-0.200000,0.830000,0.000000,105.970000,45.400000,7.010000,0.000000,24.200000,43.650000
1774478845.149634,0,0.000000,-0.090000,0.810000,0.000000,-58.810000,43.110000,7.300000,0.000000,24.170000,43.680000
1774478845.165329,0,0.000000,0.230000,0.790000,0.000000,-172.020000,41.270000,6.980000,0.000000,24.280000,43.680000
1774478845.181031,0,0.000000,0.140000,0.760000,0.000000,-44.500000,39.790000,6.840000,0.000000,24.250000,43.700000
1774478845.196698,0,0.000000,0.490000,0.750000,0.000000,-241.630000,38.880000,6.650000,0.000000,24.260000,43.720000
1774478845.196698,0,0.000000,0.440000,0.740000,0.000000,-226.360000,38.700000,6.510000,0.000000,24.200000,43.740000
1774478845.228547,0,0.000000,0.670000,0.730000,0.000000,-318.100000,39.180000,6.920000,0.000000,24.120000,43.750000
1774478845.228547,0,0.000000,0.440000,0.740000,0.000000,-222.330000,40.450000,7.150000,0.000000,24.140000,43.770000
1774478845.244205,0,0.000000,0.470000,0.760000,0.000000,-204.020000,42.020000,7.920000,0.000000,24.070000,43.770000
1774478845.275872,0,0.000000,0.210000,0.810000,0.000000,9.890000,44.610000,8.630000,0.000000,24.110000,43.790000
1774478845.275872,0,0.000000,0.100000,0.860000,0.000000,-20.380000,47.310000,8.570000,0.000000,24.190000,43.810000
1774478845.291554,0,0.000000,-0.200000,0.880000,0.000000,203.660000,49.340000,8.180000,0.000000,24.250000,43.830000
1774478845.323180,0,0.000000,-0.280000,0.910000,0.000000,154.520000,51.180000,8.070000,0.000000,24.260000,43.840000
1774478845.340677,0,0.000000,-0.680000,0.930000,0.000000,-287.510000,52.290000,7.860000,0.000000,24.270000,43.860000
1774478845.340677,0,0.000000,-0.620000,0.930000,0.000000,210.110000,52.360000,7.840000,0.000000,24.190000,43.860000
1774478845.354768,0,0.000000,-0.870000,0.910000,0.000000,-172.050000,51.650000,7.980000,0.000000,24.140000,43.880000
1774478845.386385,0,0.000000,-0.510000,0.870000,0.000000,188.030000,50.110000,8.510000,0.000000,24.100000,43.900000
1774478845.386385,0,0.000000,-0.620000,0.820000,0.500000,315.390000,47.840000,8.980000,0.000000,24.050000,43.910000
1774478845.402014,0,0.000000,-0.250000,0.800000,0.000000,164.770000,45.410000,8.810000,0.000000,24.130000,43.930000
1774478845.425267,0,0.000000,-0.180000,0.750000,0.000000,68.980000,42.380000,9.220000,0.000000,24.120000,43.950000
1774478845.433576,0,0.000000,0.230000,0.740000,0.000000,-126.830000,39.610000,9.210000,0.000000,24.280000,43.970000
1774478845.449567,0,0.000000,0.270000,0.700000,0.250000,-152.550000,37.220000,9.050000,0.000000,24.260000,43.970000
1774478845.465198,0,0.000000,0.500000,0.680000,0.000000,-229.300000,35.720000,8.850000,0.000000,24.290000,43.990000
1774478845.465198,0,0.000000,0.640000,0.680000,0.000000,320.970000,34.790000,8.420000,0.000000,24.220000,44.000000
1774478845.496921,0,0.000000,0.750000,0.670000,0.000000,296.350000,35.450000,8.720000,0.000000,24.130000,44.020000
1774478845.513019,0,0.000000,0.750000,0.680000,0.000000,-310.070000,36.900000,9.750000,0.000000,24.040000,44.040000
1774478845.538372,0,0.000000,0.660000,0.720000,0.000000,-280.010000,39.340000,10.680000,0.000000,24.010000,44.060000
1774478845.544786,0,0.000000,0.520000,0.770000,0.000000,-267.880000,42.410000,10.390000,0.000000,24.200000,44.060000
1774478845.544786,0,0.000000,0.310000,0.830000,0.000000,-124.260000,45.400000,9.970000,0.000000,24.190000,44.090000
1774478845.576421,0,0.000000,0.050000,0.870000,0.000000,-7.440000,48.270000,9.610000,0.000000,24.200000,44.090000
1774478845.592090,0,0.000000,-0.600000,0.920000,0.000000,-283.730000,50.900000,10.100000,0.000000,24.390000,44.110000
1774478845.607748,0,0.000000,-0.600000,0.950000,0.000000,274.480000,52.700000,9.960000,0.000000,24.290000,44.130000
1774478845.607748,0,0.000000,-1.030000,0.970000,0.000000,-188.000000,53.360000,9.570000,0.000000,24.210000,44.150000
1774478845.639596,0,0.000000,-0.890000,0.950000,0.000000,-194.130000,52.650000,10.060000,0.000000,24.090000,44.150000
1774478845.655278,0,0.000000,-0.720000,0.920000,0.000000,-313.390000,51.000000,11.130000,0.000000,24.040000,44.180000
1774478845.655278,0,0.000000,-0.370000,0.870000,0.000000,182.720000,48.200000,11.110000,0.000000,24.140000,44.180000
1774478845.670973,0,0.000000,-0.180000,0.810000,0.000000,28.320000,45.110000,11.130000,0.000000,24.170000,44.200000
1774478845.686938,0,0.000000,0.150000,0.760000,0.000000,-173.670000,42.500000,10.690000,0.000000,24.260000,44.220000
1774478845.702660,0,0.000000,0.540000,0.720000,0.000000,-307.330000,40.150000,10.860000,0.000000,24.320000,44.240000
1774478845.725565,0,0.000000,0.750000,0.690000,0.000000,246.130000,39.000000,10.530000,0.000000,24.270000,44.250000
1774478845.733950,0,0.000000,0.930000,0.690000,0.000000,176.110000,39.110000,10.680000,0.000000,24.130000,44.270000
1774478845.749659,0,0.000000,0.820000,0.690000,0.000000,298.390000,40.410000,11.810000,0.000000,24.010000,44.270000
1774478845.765356,0,0.000000,0.610000,0.730000,0.000000,-215.380000,42.950000,12.940000,0.000000,24.000000,44.290000
1774478845.781022,0,0.000000,0.250000,0.760000,0.000000,-110.410000,45.950000,12.770000,0.000000,24.150000,44.310000
1774478845.796836,0,0.000000,-0.170000,0.830000,0.000000,270.850000,48.560000,12.230000,0.000000,24.270000,44.330000
1774478845.812486,0,0.000000,-0.610000,0.880000,0.000000,272.420000,50.830000,12.460000,0.000000,24.310000,44.340000
1774478845.828119,0,0.000000,-0.720000,0.920000,0.000000,295.360000,52.060000,12.060000,0.000000,24.270000,44.360000
1774478845.844172,0,0.000000,-0.890000,0.920000,0.000000,-242.530000,52.060000,12.060000,0.000000,24.140000,44.380000
1774478845.844172,0,0.000000,-0.690000,0.910000,0.000000,306.420000,50.970000,12.600000,0.000000,24.060000,44.380000
1774478845.861943,0,0.000000,-0.540000,0.870000,0.000000,221.940000,48.910000,13.070000,0.000000,24.060000,44.400000
1774478845.876006,0,0.000000,-0.180000,0.810000,0.000000,66.190000,46.430000,12.880000,0.000000,24.140000,44.410000
1774478845.897712,0,0.000000,0.150000,0.760000,0.000000,-181.660000,43.700000,12.560000,0.000000,24.290000,44.430000
1774478845.907124,0,0.000000,0.280000,0.740000,0.000000,-138.970000,41.540000,12.260000,0.000000,24.280000,44.450000
1774478845.925611,0,0.000000,0.580000,0.700000,0.000000,-274.920000,40.110000,11.970000,0.000000,24.280000,44.470000
1774478845.938653,0,0.000000,0.680000,0.700000,0.000000,-304.950000,39.790000,11.630000,0.000000,24.200000,44.470000
1774478845.954284,0,0.000000,0.690000,0.700000,0.000000,-301.380000,40.330000,12.020000,0.000000,24.110000,44.500000
1774478845.969919,0,0.000000,0.460000,0.730000,0.400000,-115.830000,41.880000,12.320000,0.000000,24.070000,44.500000
1774478845.986039,0,0.000000,0.200000,0.760000,0.000000,-6.690000,43.790000,12.310000,0.000000,24.170000,44.520000
1774478846.001881,0,0.000000,-0.180000,0.810000,0.000000,220.890000,45.680000,11.800000,0.000000,24.210000,44.540000
1774478846.025631,0,0.000000,-0.520000,0.850000,0.000000,272.660000,47.330000,11.640000,0.000000,24.280000,44.560000
