epoch,mark,Unused,Ankle Angle,Unused,Measured Torque (R),Unused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769032376.036919,0,0.000000,32.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,82.750000
1769032376.084131,0,0.000000,31.790000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,8.000000,82.760000
1769032376.099823,0,0.000000,31.300000,0.000000,0.150000,0.000000,0.000000,0.000000,1.000000,8.000000,82.770000
1769032376.115896,0,0.000000,31.540000,0.000000,0.030000,0.000000,0.000000,0.000000,0.890000,8.000000,82.790000
1769032376.115896,0,0.000000,32.180000,0.000000,0.050000,0.000000,0.000000,0.000000,0.490000,8.000000,82.800000
1769032376.132123,0,0.000000,33.630000,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,8.000000,82.810000
1769032376.132123,0,0.000000,35.540000,0.000000,0.170000,0.000000,0.000000,0.000000,0.010000,8.000000,82.830000
1769032376.163064,0,0.000000,37.970000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,8.000000,82.860000
1769032376.178848,0,0.000000,40.430000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,8.000000,82.870000
1769032376.178848,0,0.000000,42.650000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,8.000000,82.880000
1769032376.198020,0,0.000000,42.970000,0.000000,0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,82.900000
1769032376.216522,0,0.000000,41.360000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,82.910000
1769032376.216522,0,0.000000,39.180000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.000000,8.000000,82.930000
1769032376.241947,0,0.000000,37.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,82.940000
1769032376.257634,0,0.000000,37.040000,0.000000,0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,82.950000
1769032376.273503,0,0.000000,36.430000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.000000,8.000000,82.980000
1769032376.289408,0,0.000000,36.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,8.000000,82.980000
1769032376.289408,0,0.000000,35.720000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,83.010000
1769032376.305463,0,0.000000,35.700000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,8.000000,83.010000
1769032376.340771,0,0.000000,35.810000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,83.040000
