epoch,mark,Unused,Ankle Angle,Unused,Measured Torque (R),Unused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeletottery Level (Volts)
1772555112.829542,0,0.000000,32.310000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,37.240000
1772555112.893208,0,0.000000,32.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,37.270000
1772555112.908883,0,0.000000,32.380000,0.000000,0.030000,0.000000,0.000000,0.000000,2.000000,8.000000,37.290000
1772555112.924922,0,0.000000,32.380000,0.000000,0.050000,0.000000,0.000000,0.000000,0.660000,8.000000,37.310000
1772555112.940647,0,0.000000,32.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,8.000000,37.310000
1772555112.940647,0,0.000000,32.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,8.000000,37.340000
1772555112.949454,0,0.000000,32.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,8.000000,37.340000
1772555112.972053,0,0.000000,32.380000,0.000000,0.020000,0.000000,0.000000,0.000000,0.500000,8.000000,37.360000
1772555112.974058,0,0.000000,32.270000,0.000000,0.070000,0.000000,0.000000,0.000000,0.750000,8.000000,37.380000
1772555112.991655,0,0.000000,32.310000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.410000,8.000000,37.400000
1772555113.006733,0,0.000000,32.340000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.410000,8.000000,37.400000
1772555113.034944,0,0.000000,32.360000,0.000000,0.030000,0.000000,0.000000,0.000000,0.410000,8.000000,37.430000
1772555113.034944,0,0.000000,32.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410000,8.000000,37.430000
1772555113.051047,0,0.000000,32.380000,0.000000,0.020000,0.000000,0.000000,0.000000,0.140000,8.000000,37.450000
1772555113.066725,0,0.000000,32.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410000,8.000000,37.470000
1772555113.082616,0,0.000000,32.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410000,8.000000,37.490000
1772555113.113970,0,0.000000,32.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410000,8.000000,37.500000
1772555113.129608,0,0.000000,32.360000,0.000000,0.010000,0.000000,0.000000,0.000000,0.560000,8.000000,37.520000
1772555113.129608,0,0.000000,32.360000,0.000000,0.010000,0.000000,0.000000,0.000000,0.410000,8.000000,37.520000
1772555113.145549,0,0.000000,32.310000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.410000,8.000000,37.540000
1772555113.208585,0,0.000000,32.310000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.410000,8.000000,37.560000
1772555113.208585,0,0.000000,32.310000,0.000000,0.090000,0.000000,0.000000,0.000000,0.280000,8.000000,37.580000
1772555113.208585,0,0.000000,32.400000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.560000,8.000000,37.590000
1772555113.208585,0,0.000000,32.290000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.410000,8.000000,37.610000
1772555113.224402,0,0.000000,32.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410000,8.000000,37.610000
1772555113.240102,0,0.000000,32.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.140000,8.000000,37.630000
1772555113.255918,0,0.000000,32.380000,0.000000,0.020000,0.000000,0.000000,0.000000,0.280000,8.000000,37.650000
1772555113.271573,0,0.000000,32.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410000,8.000000,37.660000
1772555113.303180,0,0.000000,32.380000,0.000000,0.020000,0.000000,0.000000,0.000000,0.410000,8.000000,37.680000
1772555113.303180,0,0.000000,32.310000,0.000000,0.020000,0.000000,0.000000,0.000000,0.560000,8.000000,37.700000
1772555113.319088,0,0.000000,32.410000,0.000000,-0.110000,0.000000,0.000000,0.000000,0.410000,8.000000,37.700000
1772555113.334736,0,0.000000,32.380000,0.000000,0.010000,0.000000,0.000000,0.000000,0.280000,8.000000,37.720000
1772555113.350688,0,0.000000,32.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410000,8.000000,37.750000
1772555113.366359,0,0.000000,32.310000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.410000,8.000000,37.750000
1772555113.366359,0,0.000000,32.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,8.000000,37.770000
1772555113.382194,0,0.000000,32.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,8.000000,37.790000
1772555113.398257,0,0.000000,32.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.370000,8.000000,37.810000
1772555113.414244,0,0.000000,32.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,8.000000,37.810000
1772555113.429905,0,0.000000,32.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110000,8.000000,37.840000
1772555113.449751,0,0.000000,32.340000,0.000000,0.070000,0.000000,0.000000,0.000000,0.370000,8.000000,37.840000
1772555113.461187,0,0.000000,32.410000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,8.000000,37.860000
1772555113.477264,0,0.000000,32.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.370000,8.000000,37.880000
1772555113.493147,0,0.000000,32.310000,0.000000,0.050000,0.000000,0.000000,0.000000,0.370000,8.000000,37.900000
1772555113.508860,0,0.000000,32.360000,0.000000,0.050000,0.000000,0.000000,0.000000,0.370000,8.000000,37.900000
1772555113.524540,0,0.000000,32.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.370000,8.000000,37.930000
1772555113.556194,0,0.000000,32.400000,0.000000,0.030000,0.000000,0.000000,0.000000,0.370000,8.000000,37.950000
1772555113.571845,0,0.000000,32.400000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,8.000000,37.950000
1772555113.587739,0,0.000000,32.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110000,8.000000,37.970000
1772555113.587739,0,0.000000,32.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,8.000000,37.990000
1772555113.603553,0,0.000000,32.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,8.000000,38.000000
1772555113.619225,0,0.000000,32.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,8.000000,38.020000
1772555113.634865,0,0.000000,32.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,8.000000,38.040000
1772555113.650007,0,0.000000,32.270000,0.000000,0.010000,0.000000,0.000000,0.000000,0.250000,8.000000,38.040000
1772555113.666013,0,0.000000,32.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,8.000000,38.060000
1772555113.666013,0,0.000000,32.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,8.000000,38.080000
