epoch,mark,Unused,Ankle Angle,Unused,Measured Torque (R),Unused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769108716.400661,0,0.000000,19.820000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,25.800000
1769108716.431452,0,0.000000,22.720000,0.000000,0.000000,0.000000,0.000000,0.980000,0.000000,8.000000,25.840000
1769108716.447114,0,0.000000,29.500000,0.000000,0.000000,0.000000,0.000000,0.990000,0.000000,8.000000,25.850000
1769108716.447114,0,0.000000,33.750000,0.000000,0.000000,0.000000,0.000000,1.000000,0.330000,8.000000,25.870000
1769108716.478140,0,0.000000,38.200000,0.000000,0.010000,0.000000,0.000000,1.000000,0.000000,8.000000,25.870000
1769108716.494025,0,0.000000,42.560000,0.000000,0.000000,0.000000,0.000000,0.980000,0.660000,8.000000,25.880000
1769108716.515385,0,0.000000,46.540000,0.000000,-0.020000,0.000000,0.000000,0.990000,0.000000,8.000000,25.900000
1769108716.515385,0,0.000000,49.700000,0.000000,-0.070000,0.000000,0.000000,0.990000,0.330000,8.000000,25.920000
1769108716.541586,0,0.000000,51.110000,0.000000,0.620000,0.000000,0.000000,1.000000,0.940000,8.000000,25.940000
1769108716.544816,0,0.000000,52.110000,0.000000,0.370000,0.000000,0.000000,0.990000,0.870000,8.000000,25.950000
1769108716.572900,0,0.000000,53.270000,0.000000,0.340000,0.000000,0.000000,1.000000,0.720000,8.000000,25.960000
1769108716.572900,0,0.000000,54.400000,0.000000,0.310000,0.000000,0.000000,0.990000,0.680000,8.000000,25.970000
1769108716.588675,0,0.000000,55.970000,0.000000,0.360000,0.000000,0.000000,1.000000,0.720000,8.000000,26.000000
1769108716.604318,0,0.000000,57.810000,0.000000,0.410000,0.000000,0.000000,1.000000,0.630000,8.000000,26.020000
1769108716.623753,0,0.000000,59.360000,0.000000,0.460000,0.000000,0.000000,1.000000,0.630000,8.000000,26.030000
1769108716.635930,0,0.000000,60.840000,0.000000,0.460000,0.000000,0.000000,0.980000,0.630000,8.000000,26.040000
1769108716.635930,0,0.000000,61.990000,0.000000,0.460000,0.000000,0.000000,0.950000,0.630000,8.000000,26.050000
1769108716.667520,0,0.000000,63.160000,0.000000,0.440000,0.000000,0.000000,0.930000,0.680000,8.000000,26.070000
1769108716.684664,0,0.000000,63.650000,0.000000,0.380000,0.000000,0.000000,0.890000,0.680000,8.000000,26.090000
1769108716.698789,0,0.000000,64.010000,0.000000,0.100000,0.000000,0.000000,0.770000,0.280000,8.000000,26.110000
1769108716.714584,0,0.000000,63.500000,0.000000,0.100000,0.000000,0.000000,0.600000,0.110000,8.000000,26.120000
1769108716.714584,0,0.000000,62.430000,0.000000,0.050000,0.000000,0.000000,0.340000,0.030000,8.000000,26.130000
1769108716.729949,0,0.000000,60.910000,0.000000,0.100000,0.000000,0.000000,0.120000,0.110000,8.000000,26.140000
1769108716.748537,0,0.000000,59.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,8.000000,26.170000
1769108716.766496,0,0.000000,56.990000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.030000,8.000000,26.190000
1769108716.792842,0,0.000000,55.110000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.070000,8.000000,26.200000
1769108716.808666,0,0.000000,53.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,8.000000,26.210000
1769108716.824414,0,0.000000,51.860000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.030000,8.000000,26.220000
1769108716.842140,0,0.000000,50.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,8.000000,26.250000
1769108716.842140,0,0.000000,48.660000,0.000000,0.020000,0.000000,0.000000,0.000000,0.070000,8.000000,26.260000
1769108716.871388,0,0.000000,46.880000,0.000000,-0.090000,0.000000,0.000000,0.000000,0.030000,8.000000,26.280000
1769108716.895205,0,0.000000,43.970000,0.000000,-0.110000,0.000000,0.000000,0.000000,0.030000,8.000000,26.290000
1769108716.897791,0,0.000000,41.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,8.000000,26.300000
1769108716.918667,0,0.000000,39.000000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.030000,8.000000,26.310000
1769108716.934303,0,0.000000,36.830000,0.000000,-0.030000,0.000000,0.000000,0.070000,0.030000,8.000000,26.340000
1769108716.949994,0,0.000000,35.360000,0.000000,0.000000,0.000000,0.000000,0.200000,0.030000,8.000000,26.360000
1769108716.949994,0,0.000000,34.680000,0.000000,0.000000,0.000000,0.000000,0.330000,0.070000,8.000000,26.370000
1769108716.981724,0,0.000000,34.110000,0.000000,-0.030000,0.000000,0.000000,0.440000,0.030000,8.000000,26.380000
1769108716.997556,0,0.000000,33.750000,0.000000,0.070000,0.000000,0.000000,0.560000,0.000000,8.000000,26.390000
