epoch,mark,Clutch Command,Ankle Angle,Desired Torque (R),Measured Torque (R),Unused,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769447626.979807,0,40.000000,30.130000,255.440000,-2.130000,0.000000,0.000000,0.100000,0.000000,8.000000,25.180000
1769447626.995438,0,40.000000,31.620000,-63.250000,-2.650000,0.000000,0.000000,0.210000,0.000000,8.000000,25.200000
1769447627.011102,0,40.000000,31.130000,321.130000,-0.620000,0.000000,0.000000,0.360000,0.000000,8.000000,25.200000
1769447627.032608,0,40.000000,31.130000,-123.380000,-3.800000,0.000000,0.000000,0.400000,0.100000,8.000000,25.220000
1769447627.032608,0,40.000000,32.360000,97.550000,-3.110000,0.000000,0.000000,0.460000,0.000000,8.000000,25.230000
1769447627.042472,0,40.000000,32.410000,96.690000,-1.950000,0.000000,0.000000,0.510000,0.000000,8.000000,25.260000
1769447627.075575,0,40.000000,31.200000,-51.340000,-1.950000,0.000000,0.000000,0.540000,0.000000,8.000000,25.280000
1769447627.084172,0,40.000000,29.450000,-113.790000,-1.950000,0.000000,0.000000,0.560000,0.000000,8.000000,25.290000
1769447627.105355,0,40.000000,27.420000,-263.600000,-2.390000,0.000000,0.000000,0.550000,0.000000,8.000000,25.290000
1769447627.120986,0,40.000000,25.360000,-46.680000,-1.860000,0.000000,0.000000,0.520000,0.000000,8.000000,25.310000
1769447627.120986,0,40.000000,23.400000,89.370000,-1.880000,0.000000,0.000000,0.510000,0.000000,8.000000,25.340000
1769447627.136859,0,40.000000,22.450000,50.700000,-1.510000,0.000000,0.000000,0.510000,0.210000,8.000000,25.350000
1769447627.152513,0,40.000000,21.520000,48.740000,-2.250000,0.000000,0.000000,0.520000,0.100000,8.000000,25.370000
1769447627.168179,0,40.000000,21.940000,42.540000,-3.140000,0.000000,0.000000,0.550000,0.000000,8.000000,25.370000
1769447627.184020,0,40.000000,22.770000,-204.460000,-1.490000,0.000000,0.000000,0.560000,0.100000,8.000000,25.390000
1769447627.217262,0,40.000000,23.630000,-136.600000,-2.320000,0.000000,0.000000,0.550000,0.100000,8.000000,25.400000
1769447627.219268,0,40.000000,23.400000,-14.850000,-0.330000,0.000000,0.000000,0.560000,0.000000,8.000000,25.430000
1769447627.232617,0,40.000000,23.120000,-285.040000,-1.640000,0.000000,0.000000,0.540000,0.000000,8.000000,25.440000
1769447627.247021,0,40.000000,23.950000,-257.230000,-2.560000,0.000000,0.000000,0.520000,0.000000,8.000000,25.450000
1769447627.262664,0,40.000000,24.870000,71.180000,-2.130000,0.000000,0.000000,0.550000,0.000000,8.000000,25.460000
1769447627.278672,0,40.000000,24.570000,-121.230000,-0.140000,0.000000,0.000000,0.560000,0.000000,8.000000,25.480000
1769447627.294415,0,40.000000,25.020000,21.860000,-2.210000,0.000000,0.000000,0.560000,0.000000,8.000000,25.500000
1769447627.310506,0,40.000000,25.560000,41.700000,-2.450000,0.000000,0.000000,0.560000,0.000000,8.000000,25.520000
1769447627.332673,0,40.000000,26.790000,-200.820000,-2.750000,0.000000,0.000000,0.560000,0.000000,8.000000,25.530000
1769447627.332673,0,40.000000,26.360000,229.800000,-0.440000,0.000000,0.000000,0.560000,0.000000,8.000000,25.540000
1769447627.358897,0,40.000000,25.850000,-179.330000,-2.500000,0.000000,0.000000,0.510000,0.210000,8.000000,25.550000
1769447627.358897,0,40.000000,26.200000,106.910000,-2.850000,0.000000,0.000000,0.470000,0.000000,8.000000,25.570000
1769447627.374729,0,40.000000,27.050000,291.950000,-2.350000,0.000000,0.000000,0.440000,0.000000,8.000000,25.590000
1769447627.390393,0,40.000000,27.590000,-309.010000,-1.730000,0.000000,0.000000,0.400000,0.000000,8.000000,25.600000
1769447627.422022,0,40.000000,27.650000,140.160000,-1.690000,0.000000,0.000000,0.300000,0.000000,8.000000,25.620000
1769447627.437657,0,40.000000,27.880000,216.160000,-1.420000,0.000000,0.000000,0.180000,0.070000,8.000000,25.620000
1769447627.453310,0,40.000000,28.820000,-76.790000,-2.250000,0.000000,0.000000,0.070000,0.070000,8.000000,25.640000
1769447627.453310,0,40.000000,28.950000,-16.340000,-0.100000,0.000000,0.000000,0.020000,0.000000,8.000000,25.650000
1769447627.468979,0,40.000000,27.040000,184.830000,-0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,25.680000
1769447627.484613,0,40.000000,24.870000,172.270000,-0.340000,0.000000,0.000000,0.000000,0.000000,8.000000,25.690000
1769447627.500265,0,40.000000,22.860000,299.790000,-0.570000,0.000000,0.000000,0.000000,0.000000,8.000000,25.700000
1769447627.500265,0,40.000000,21.450000,-120.120000,-0.050000,0.000000,0.000000,0.000000,0.000000,8.000000,25.710000
1769447627.532450,0,40.000000,20.470000,-83.300000,-0.150000,0.000000,0.000000,0.000000,0.070000,8.000000,25.730000
1769447627.547885,0,40.000000,20.010000,-55.810000,-0.030000,0.000000,0.000000,0.000000,0.000000,8.000000,25.750000
1769447627.563526,0,40.000000,19.790000,-10.350000,0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,25.770000
1769447627.579263,0,40.000000,19.570000,97.230000,0.340000,0.000000,0.000000,0.000000,0.000000,8.000000,25.780000
1769447627.594903,0,40.000000,19.380000,-258.200000,0.100000,0.000000,0.000000,0.000000,0.000000,8.000000,25.790000
1769447627.594903,0,40.000000,19.400000,247.330000,-0.010000,0.000000,0.000000,0.000000,0.070000,8.000000,25.810000
1769447627.626571,0,40.000000,19.520000,62.250000,-0.150000,0.000000,0.000000,0.000000,0.000000,8.000000,25.820000
1769447627.642199,0,40.000000,20.260000,-85.630000,-1.750000,0.000000,0.000000,0.000000,0.000000,8.000000,25.850000
1769447627.657887,0,40.000000,20.470000,267.820000,0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,25.860000
1769447627.673978,0,40.000000,20.200000,-56.290000,0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,25.870000
1769447627.673978,0,40.000000,19.640000,298.190000,-0.510000,0.000000,0.000000,0.000000,0.200000,8.000000,25.880000
1769447627.705437,0,40.000000,18.860000,299.760000,0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,25.890000
1769447627.713460,0,40.000000,17.610000,123.580000,0.120000,0.000000,0.000000,0.000000,0.000000,8.000000,25.920000
1769447627.732724,0,40.000000,16.470000,123.150000,0.070000,0.000000,0.000000,0.000000,0.200000,8.000000,25.930000
1769447627.736988,0,40.000000,14.900000,316.640000,0.660000,0.000000,0.000000,0.000000,0.070000,8.000000,25.950000
1769447627.752926,0,40.000000,13.250000,13.880000,1.120000,0.000000,0.000000,0.000000,0.000000,8.000000,25.950000
1769447627.768567,0,40.000000,11.480000,234.130000,1.080000,0.000000,0.000000,0.000000,0.000000,8.000000,25.970000
1769447627.784637,0,40.000000,9.810000,199.610000,1.120000,0.000000,0.000000,0.000000,0.000000,8.000000,25.980000
1769447627.800350,0,40.000000,9.600000,206.080000,0.150000,0.000000,0.000000,0.000000,0.000000,8.000000,26.010000
1769447627.816397,0,40.000000,9.780000,-40.180000,1.520000,0.000000,0.000000,0.000000,0.140000,8.000000,26.020000
1769447627.833826,0,40.000000,9.520000,253.670000,2.170000,0.000000,0.000000,0.000000,0.070000,8.000000,26.040000
1769447627.848024,0,40.000000,7.880000,-81.090000,2.400000,0.000000,0.000000,0.000000,0.000000,8.000000,26.050000
1769447627.865935,0,40.000000,6.190000,206.440000,1.590000,0.000000,0.000000,0.000000,0.140000,8.000000,26.060000
1769447627.879618,0,40.000000,5.130000,-225.360000,1.420000,0.000000,0.000000,0.000000,0.070000,8.000000,26.090000
1769447627.895359,0,40.000000,5.210000,59.200000,0.680000,0.000000,0.000000,0.000000,0.000000,8.000000,26.100000
1769447627.910999,0,40.000000,6.010000,265.600000,0.810000,0.000000,0.000000,0.000000,0.000000,8.000000,26.120000
1769447627.926653,0,40.000000,7.420000,196.780000,0.980000,0.000000,0.000000,0.000000,0.070000,8.000000,26.120000
1769447627.932739,0,40.000000,9.060000,-324.660000,0.550000,0.000000,0.000000,0.000000,0.070000,8.000000,26.140000
1769447627.957928,0,40.000000,10.510000,203.080000,0.460000,0.000000,0.000000,0.000000,0.000000,8.000000,26.150000
1769447627.973695,0,40.000000,11.860000,66.150000,0.230000,0.000000,0.000000,0.000000,0.000000,8.000000,26.180000
1769447627.973695,0,40.000000,13.390000,-169.300000,0.100000,0.000000,0.000000,0.000000,0.000000,8.000000,26.190000
1769447627.989349,0,40.000000,14.550000,-216.410000,0.150000,0.000000,0.000000,0.000000,0.000000,8.000000,26.200000
1769447628.020801,0,40.000000,14.890000,297.510000,0.700000,0.000000,0.000000,0.000000,0.000000,8.000000,26.210000
1769447628.028546,0,40.000000,15.280000,216.860000,0.110000,0.000000,0.000000,0.000000,0.200000,8.000000,26.230000
1769447628.036668,0,40.000000,15.270000,48.750000,0.620000,0.000000,0.000000,0.000000,0.000000,8.000000,26.250000
1769447628.052438,0,40.000000,14.110000,327.010000,1.160000,0.000000,0.000000,0.000000,0.000000,8.000000,26.270000
1769447628.087854,0,40.000000,12.170000,129.530000,1.520000,0.000000,0.000000,0.000000,0.000000,8.000000,26.280000
1769447628.093966,0,40.000000,10.180000,-311.330000,1.420000,0.000000,0.000000,0.000000,0.000000,8.000000,26.290000
1769447628.115537,0,40.000000,8.230000,86.870000,1.450000,0.000000,0.000000,0.000000,0.000000,8.000000,26.300000
1769447628.132687,0,40.000000,7.860000,191.110000,0.540000,0.000000,0.000000,0.000000,0.000000,8.000000,26.320000
1769447628.132687,0,40.000000,8.920000,-159.710000,0.610000,0.000000,0.000000,0.010000,0.070000,8.000000,26.340000
1769447628.146823,0,40.000000,10.750000,-193.640000,1.000000,0.000000,0.000000,0.050000,0.070000,8.000000,26.360000
1769447628.162459,0,40.000000,12.680000,-214.690000,1.190000,0.000000,0.000000,0.070000,0.140000,8.000000,26.370000
1769447628.178121,0,40.000000,14.560000,87.870000,0.790000,0.000000,0.000000,0.100000,0.000000,8.000000,26.380000
1769447628.193770,0,40.000000,15.980000,-35.220000,0.680000,0.000000,0.000000,0.110000,0.070000,8.000000,26.390000
1769447628.209437,0,40.000000,17.290000,60.630000,0.210000,0.000000,0.000000,0.120000,0.070000,8.000000,26.420000
1769447628.228314,0,40.000000,18.300000,-118.660000,0.020000,0.000000,0.000000,0.120000,0.000000,8.000000,26.430000
1769447628.243955,0,40.000000,18.690000,-154.190000,0.310000,0.000000,0.000000,0.140000,0.000000,8.000000,26.450000
1769447628.259593,0,40.000000,17.640000,-198.410000,0.870000,0.000000,0.000000,0.120000,0.000000,8.000000,26.450000
1769447628.259593,0,40.000000,16.040000,17.640000,0.230000,0.000000,0.000000,0.100000,0.000000,8.000000,26.470000
1769447628.275426,0,40.000000,14.520000,-24.380000,0.050000,0.000000,0.000000,0.100000,0.000000,8.000000,26.480000
1769447628.307104,0,40.000000,12.940000,-24.360000,0.340000,0.000000,0.000000,0.090000,0.000000,8.000000,26.510000
1769447628.328364,0,40.000000,11.300000,274.500000,0.440000,0.000000,0.000000,0.090000,0.000000,8.000000,26.520000
1769447628.328364,0,40.000000,9.680000,-270.820000,0.400000,0.000000,0.000000,0.090000,0.070000,8.000000,26.540000
1769447628.339668,0,40.000000,8.480000,-15.190000,0.620000,0.000000,0.000000,0.070000,0.000000,8.000000,26.540000
1769447628.370419,0,40.000000,6.960000,277.320000,1.230000,0.000000,0.000000,0.090000,0.000000,8.000000,26.560000
1769447628.386499,0,40.000000,5.280000,-313.640000,1.020000,0.000000,0.000000,0.090000,0.000000,8.000000,26.570000
1769447628.386499,0,40.000000,3.970000,-319.730000,1.080000,0.000000,0.000000,0.070000,0.000000,8.000000,26.600000
1769447628.402168,0,40.000000,2.970000,280.790000,1.140000,0.000000,0.000000,0.070000,0.000000,8.000000,26.610000
1769447628.418175,0,40.000000,2.070000,268.260000,1.140000,0.000000,0.000000,0.070000,0.000000,8.000000,26.620000
1769447628.434250,0,40.000000,2.230000,167.800000,0.230000,0.000000,0.000000,0.050000,0.000000,8.000000,26.630000
1769447628.449886,0,40.000000,2.910000,-311.390000,0.150000,0.000000,0.000000,0.050000,0.000000,8.000000,26.650000
1769447628.465522,0,40.000000,4.210000,53.560000,0.340000,0.000000,0.000000,0.050000,0.000000,8.000000,26.670000
1769447628.481202,0,40.000000,5.940000,45.020000,0.270000,0.000000,0.000000,0.050000,0.070000,8.000000,26.690000
1769447628.496842,0,40.000000,7.570000,299.080000,0.180000,0.000000,0.000000,0.050000,0.070000,8.000000,26.700000
1769447628.528399,0,40.000000,9.440000,-166.630000,0.180000,0.000000,0.000000,0.050000,0.140000,8.000000,26.710000
1769447628.528399,0,40.000000,11.180000,-249.990000,0.170000,0.000000,0.000000,0.050000,0.000000,8.000000,26.720000
1769447628.544039,0,40.000000,12.860000,132.020000,0.280000,0.000000,0.000000,0.050000,0.070000,8.000000,26.750000
1769447628.560114,0,40.000000,14.590000,-43.200000,0.280000,0.000000,0.000000,0.050000,0.000000,8.000000,26.760000
1769447628.578609,0,40.000000,15.150000,260.600000,1.240000,0.000000,0.000000,0.050000,0.070000,8.000000,26.780000
1769447628.591472,0,40.000000,14.380000,169.360000,1.760000,0.000000,0.000000,0.050000,0.000000,8.000000,26.790000
1769447628.607135,0,40.000000,12.510000,-72.800000,1.640000,0.000000,0.000000,0.020000,0.000000,8.000000,26.800000
1769447628.622777,0,40.000000,11.480000,75.580000,0.730000,0.000000,0.000000,0.000000,0.140000,8.000000,26.820000
1769447628.622777,0,40.000000,10.310000,30.570000,1.590000,0.000000,0.000000,0.000000,0.070000,8.000000,26.840000
1769447628.638443,0,40.000000,8.480000,-161.580000,1.780000,0.000000,0.000000,0.000000,0.070000,8.000000,26.860000
1769447628.670151,0,40.000000,6.630000,-108.430000,1.370000,0.000000,0.000000,0.000000,0.000000,8.000000,26.870000
1769447628.689916,0,40.000000,5.280000,92.220000,1.330000,0.000000,0.000000,0.000000,0.000000,8.000000,26.880000
1769447628.702047,0,40.000000,4.320000,17.140000,0.770000,0.000000,0.000000,0.000000,0.140000,8.000000,26.890000
1769447628.702047,0,40.000000,3.000000,-22.670000,1.190000,0.000000,0.000000,0.000000,0.000000,8.000000,26.920000
1769447628.720833,0,40.000000,1.150000,2.750000,1.300000,0.000000,0.000000,0.000000,0.000000,8.000000,26.930000
1769447628.733128,0,40.000000,0.030000,-183.330000,0.940000,0.000000,0.000000,0.000000,0.000000,8.000000,26.950000
1769447628.764640,0,40.000000,0.050000,-67.650000,0.740000,0.000000,0.000000,0.000000,0.000000,8.000000,26.950000
1769447628.780304,0,40.000000,0.030000,44.360000,0.370000,0.000000,0.000000,0.000000,0.000000,8.000000,26.970000
1769447628.780304,0,40.000000,0.030000,21.600000,0.750000,0.000000,0.000000,0.000000,0.140000,8.000000,26.980000
1769447628.796028,0,40.000000,0.030000,-27.840000,0.740000,0.000000,0.000000,0.000000,0.070000,8.000000,27.000000
1769447628.820706,0,40.000000,0.070000,-315.200000,0.580000,0.000000,0.000000,0.000000,0.000000,8.000000,27.020000
1769447628.840234,0,40.000000,0.030000,269.070000,0.360000,0.000000,0.000000,0.000000,0.000000,8.000000,27.030000
1769447628.840234,0,40.000000,0.030000,-124.400000,0.560000,0.000000,0.000000,0.000000,0.070000,8.000000,27.040000
1769447628.859540,0,40.000000,0.030000,142.530000,0.610000,0.000000,0.000000,0.000000,0.000000,8.000000,27.050000
1769447628.875668,0,40.000000,0.050000,90.840000,1.280000,0.000000,0.000000,0.000000,0.070000,8.000000,27.070000
