epoch,mark,Desired Torque,Measured Torque,Toe FSR,Heel FSR,PID Signal,Ankle Angle,Power,Stance Phase,Battery Level (Volts),Exoskeleton time (seconds)
1774479699.406623,0,0.000000,0.340000,0.000000,1.000000,-137.690000,66.760000,0.100000,0.000000,23.940000,31.010000
1774479699.470195,0,0.000000,0.310000,0.000000,0.000000,-145.880000,66.800000,0.200000,0.000000,23.940000,31.070000
1774479699.485848,0,0.000000,0.490000,0.000000,0.000000,-285.830000,66.840000,0.300000,0.000000,23.940000,31.100000
1774479699.501780,0,0.000000,0.500000,0.000000,0.000000,-228.970000,66.910000,0.380000,0.000000,23.940000,31.110000
1774479699.517460,0,0.000000,0.500000,0.000000,0.000000,-186.020000,66.980000,0.550000,0.000000,23.920000,31.120000
1774479699.539820,0,0.000000,0.310000,0.000000,0.000000,-160.250000,67.480000,0.860000,0.000000,23.900000,31.130000
1774479699.549083,0,0.000000,0.370000,0.000000,0.000000,-164.570000,68.430000,1.460000,0.000000,23.870000,31.150000
1774479699.564818,0,0.000000,0.370000,0.000000,0.000000,-172.690000,70.000000,2.140000,0.000000,23.870000,31.180000
1774479699.580904,0,0.000000,0.310000,0.000000,0.000000,-157.750000,71.760000,2.690000,0.000000,23.870000,31.190000
1774479699.596769,0,0.000000,0.310000,0.000000,0.000000,-154.440000,73.800000,3.230000,0.000000,23.860000,31.200000
1774479699.612898,0,0.000000,0.310000,0.000000,0.000000,-158.860000,76.160000,3.820000,0.000000,23.840000,31.210000
1774479699.628551,0,0.000000,0.200000,0.000000,0.000000,-44.860000,78.760000,4.260000,0.000000,23.840000,31.230000
1774479699.648889,0,0.000000,0.200000,0.000000,0.000000,-89.310000,81.430000,4.710000,0.000000,23.860000,31.250000
1774479699.660127,0,0.000000,0.180000,0.000000,0.000000,-98.770000,84.120000,5.010000,0.000000,23.870000,31.270000
1774479699.675907,0,0.000000,0.090000,0.000000,0.000000,-71.830000,86.760000,4.960000,0.000000,23.920000,31.280000
1774479699.691538,0,0.000000,0.020000,0.000000,0.000000,36.040000,88.810000,5.130000,0.000000,23.880000,31.290000
1774479699.707599,0,0.000000,-0.010000,0.000000,0.500000,-7.510000,88.800000,4.980000,0.000000,23.950000,31.300000
1774479699.723283,0,0.000000,-0.100000,0.000000,0.000000,40.740000,88.800000,4.940000,0.000000,23.920000,31.320000
1774479699.723283,0,0.000000,-0.250000,0.000000,0.000000,171.330000,88.770000,4.780000,0.000000,23.950000,31.340000
1774479699.740182,0,0.000000,-0.230000,0.000000,0.000000,146.220000,88.800000,4.610000,0.000000,23.940000,31.360000
1774479699.755151,0,0.000000,-0.280000,0.000000,0.000000,150.860000,88.800000,4.420000,0.000000,23.940000,31.370000
1774479699.786676,0,0.000000,-0.340000,0.000000,0.000000,165.440000,88.770000,4.340000,0.000000,23.930000,31.380000
1774479699.808338,0,0.000000,-0.440000,0.970000,0.000000,190.830000,88.830000,4.590000,0.000000,23.870000,31.390000
1774479699.818030,0,0.000000,-0.510000,1.000000,0.000000,244.580000,88.800000,4.920000,0.000000,23.870000,31.420000
1774479699.834020,0,0.000000,-0.490000,1.000000,0.000000,214.800000,88.770000,5.510000,0.000000,23.820000,31.430000
1774479699.840209,0,0.000000,-0.540000,1.000000,0.000000,231.300000,88.800000,6.340000,0.000000,23.790000,31.450000
1774479699.849699,0,0.000000,-0.470000,1.000000,0.000000,219.250000,88.800000,7.150000,0.000000,23.780000,31.450000
1774479699.865435,0,0.000000,-0.570000,1.000000,0.000000,253.130000,87.910000,7.260000,0.000000,23.850000,31.470000
1774479699.881376,0,0.000000,-0.510000,0.990000,0.000000,194.440000,84.580000,6.980000,0.000000,23.900000,31.480000
1774479699.897200,0,0.000000,-0.500000,0.950000,0.000000,253.070000,81.540000,7.210000,0.000000,23.870000,31.510000
1774479699.912839,0,0.000000,-0.510000,0.930000,0.000000,240.130000,78.500000,7.260000,0.000000,23.870000,31.520000
1774479699.928470,0,0.000000,-0.490000,0.880000,0.000000,213.860000,75.610000,7.340000,0.000000,23.880000,31.540000
1774479699.944508,0,0.000000,-0.370000,0.810000,0.000000,149.690000,72.550000,7.360000,0.000000,23.870000,31.540000
1774479699.960315,0,0.000000,-0.470000,0.640000,0.660000,174.360000,69.300000,7.420000,0.000000,23.860000,31.560000
1774479699.976057,0,0.000000,-0.310000,0.550000,0.000000,137.770000,66.230000,7.380000,0.000000,23.880000,31.570000
